"Job_ID","Pipeline_ID","Scan_Type","Severity","Vulnerability_Count","Arrival_Time_Min","Service_Time_Min","Risk_Score","Developer_Experience","Code_Change_Size"
133,"PL-0014","SAST","High",5,283.66,4.58,81.91,"Junior","Small"
134,"PL-0156","Container","Medium",5,286.22,5.65,51.8,"Junior","Small"
135,"PL-0097","SCA","High",5,287.33,3.14,83.9,"Intermediate","Medium"
136,"PL-0229","IaC","Medium",4,287.38,2.37,45.42,"Intermediate","Medium"
137,"PL-0182","SCA","High",5,290.56,2.98,79.01,"Junior","Small"
138,"PL-0127","SCA","High",4,291.92,4.36,71.32,"Intermediate","Small"
139,"PL-0287","SAST","High",7,295.79,3.05,81.2,"Junior","Small"
140,"PL-0043","IaC","High",5,296.47,3.12,68.15,"Senior","Small"
141,"PL-0180","SCA","Medium",1,298.54,3.02,49.03,"Senior","Medium"
142,"PL-0027","SCA","Low",5,300.19,4.44,30.91,"Senior","Medium"
143,"PL-0030","SCA","Low",3,304.42,2.74,13.25,"Junior","Medium"
144,"PL-0180","Container","High",6,304.75,3.11,65.76,"Intermediate","Small"
145,"PL-0212","Container","Medium",2,305.15,7.19,47.77,"Junior","Small"
146,"PL-0075","SAST","Low",1,307.12,2.8,21.61,"Intermediate","Small"
147,"PL-0201","SCA","Medium",3,307.73,4.42,41.81,"Senior","Small"
148,"PL-0062","Container","Medium",2,308.52,4.29,37.37,"Intermediate","Small"
149,"PL-0269","DAST","High",7,311.08,6.7,86.57,"Junior","Medium"
150,"PL-0124","IaC","Medium",3,312.14,3.08,46.36,"Senior","Small"
151,"PL-0063","DAST","High",8,313.26,6.65,77.96,"Intermediate","Large"
152,"PL-0049","SCA","Low",2,314.84,2.96,29.9,"Intermediate","Medium"
153,"PL-0061","SAST","Medium",1,318.28,2.48,56.92,"Junior","Small"
154,"PL-0116","IaC","Low",1,319.31,3.24,18.75,"Intermediate","Medium"
155,"PL-0257","SAST","Medium",2,322.48,3.77,51.35,"Intermediate","Small"
156,"PL-0028","IaC","Medium",6,328,4.77,53.92,"Senior","Medium"
157,"PL-0002","SAST","Medium",3,328.62,3.34,43.99,"Intermediate","Small"
158,"PL-0159","DAST","Low",2,339.07,7.32,21.23,"Intermediate","Large"
159,"PL-0136","SCA","Low",1,339.98,3.47,23.46,"Senior","Medium"
160,"PL-0127","SCA","Medium",7,342.78,3.06,68.8,"Intermediate","Small"
161,"PL-0208","IaC","Low",2,343.17,2.63,13.36,"Intermediate","Medium"
162,"PL-0259","Container","High",8,345.01,6.77,80.13,"Junior","Large"
163,"PL-0229","Container","Medium",3,346.57,5.34,47.72,"Junior","Small"
164,"PL-0269","SCA","Medium",7,352.54,2.7,52.71,"Senior","Small"
165,"PL-0012","SAST","Medium",9,354.66,3.37,55.39,"Junior","Small"
166,"PL-0193","IaC","High",3,358.19,4.29,68.08,"Intermediate","Small"
167,"PL-0158","Container","Medium",1,359.05,4.98,25.67,"Intermediate","Medium"
168,"PL-0051","SAST","Low",3,359.76,4.81,21.8,"Intermediate","Small"
169,"PL-0165","SCA","High",5,369.03,2.64,78.57,"Intermediate","Medium"
170,"PL-0047","Container","Medium",3,372.65,6.15,45.51,"Junior","Small"
171,"PL-0198","Container","Low",1,374.12,4.4,21.35,"Intermediate","Medium"
172,"PL-0010","Container","Medium",4,374.31,4.68,49.28,"Intermediate","Medium"
173,"PL-0255","Container","Medium",2,375.72,4.13,52.37,"Intermediate","Small"
174,"PL-0201","Container","Critical",6,377.35,5.81,100,"Junior","Large"
175,"PL-0233","SAST","Critical",12,378.22,4.39,100,"Junior","Small"
176,"PL-0003","SAST","Medium",4,381.32,4.99,52.8,"Intermediate","Small"
177,"PL-0181","IaC","Low",1,388.56,3.12,16.85,"Junior","Small"
178,"PL-0239","Container","Medium",4,388.79,5.81,44.61,"Intermediate","Large"
179,"PL-0284","DAST","High",9,390.04,7.04,90.55,"Junior","Medium"
180,"PL-0252","Container","High",1,390.34,4.39,73.42,"Intermediate","Medium"
181,"PL-0093","SCA","High",5,390.53,2.53,68.91,"Intermediate","Medium"
182,"PL-0084","IaC","High",8,390.57,4.15,70.74,"Senior","Medium"
183,"PL-0225","SAST","Low",3,406.88,2.89,35.89,"Junior","Medium"
184,"PL-0061","Container","Medium",4,410.95,4.31,56.14,"Senior","Large"
185,"PL-0102","SAST","Medium",2,411.97,4.04,38.24,"Junior","Medium"
186,"PL-0171","DAST","Medium",2,413.09,5.58,51.93,"Junior","Small"
187,"PL-0150","DAST","Medium",6,418.12,7.29,63.05,"Intermediate","Medium"
188,"PL-0182","SAST","Low",1,423.4,4.43,29.25,"Intermediate","Medium"
189,"PL-0055","DAST","High",9,429.26,5.58,81.29,"Junior","Medium"
190,"PL-0054","SCA","High",4,430.73,4.21,65.65,"Intermediate","Small"
191,"PL-0173","SAST","High",3,430.89,4.95,72.46,"Intermediate","Large"
192,"PL-0043","Container","High",2,435.84,5.41,70.06,"Intermediate","Small"
193,"PL-0207","Container","High",8,436.55,4.95,83.67,"Intermediate","Small"
194,"PL-0085","Container","High",6,436.82,6.08,87.55,"Senior","Small"
195,"PL-0153","Container","Low",1,438.74,5.99,26.22,"Junior","Medium"
196,"PL-0240","SAST","Low",4,439.75,3.71,23.04,"Intermediate","Small"
197,"PL-0049","IaC","High",10,442.35,4.99,85.05,"Junior","Small"
198,"PL-0139","IaC","Low",2,446.57,4.71,30.54,"Intermediate","Small"
199,"PL-0156","Container","Medium",3,449.33,6.19,54.91,"Junior","Large"
200,"PL-0274","SAST","High",7,452.1,4.4,85.81,"Senior","Small"
201,"PL-0055","IaC","Low",2,454.09,4.88,13.16,"Junior","Small"
202,"PL-0226","SAST","Medium",1,455.37,3.54,45.83,"Intermediate","Medium"
203,"PL-0250","Container","Critical",6,457.87,4.88,100,"Junior","Medium"
204,"PL-0170","Container","High",2,465.78,4.79,84.68,"Senior","Small"
205,"PL-0292","DAST","Medium",5,467.86,6.83,62.35,"Intermediate","Medium"
206,"PL-0148","DAST","Medium",2,467.9,6.52,41.59,"Junior","Medium"
207,"PL-0207","DAST","Critical",11,471.91,8.09,100,"Junior","Medium"
208,"PL-0189","DAST","High",8,472.72,7.62,81.63,"Intermediate","Small"
209,"PL-0113","SCA","Low",3,481.42,3.38,24.98,"Junior","Small"
210,"PL-0027","SAST","Medium",2,482.68,3.99,40.23,"Intermediate","Medium"
211,"PL-0094","IaC","Low",1,486.25,3.2,16.13,"Senior","Medium"
212,"PL-0133","SCA","High",7,495.19,3.98,91.06,"Intermediate","Medium"
213,"PL-0086","DAST","Medium",6,495.58,7.78,56.92,"Intermediate","Small"
214,"PL-0114","SAST","Medium",3,495.64,2.63,44.56,"Senior","Small"
215,"PL-0250","IaC","Low",1,496.64,4.56,9.17,"Intermediate","Medium"
216,"PL-0169","DAST","Medium",5,499.39,6.02,50.42,"Senior","Small"
217,"PL-0220","Container","Low",2,502.23,4.85,29.84,"Intermediate","Medium"
218,"PL-0038","Container","Medium",2,504.22,5.86,53.78,"Junior","Small"
219,"PL-0115","IaC","High",9,507.43,3.78,76.21,"Junior","Large"
220,"PL-0267","DAST","Medium",2,507.99,6.43,55.22,"Junior","Medium"
221,"PL-0220","SCA","Low",2,509.09,3.25,20.54,"Intermediate","Small"
222,"PL-0213","DAST","Low",2,510.12,5.96,22.93,"Junior","Small"
223,"PL-0292","DAST","Low",1,510.61,5.26,18.51,"Intermediate","Medium"
224,"PL-0214","SAST","High",5,511.27,4.86,80.59,"Intermediate","Small"
225,"PL-0113","DAST","High",7,512.76,7.25,67.52,"Intermediate","Medium"
226,"PL-0030","Container","Low",1,513.26,4.49,28.43,"Intermediate","Large"
227,"PL-0187","IaC","Critical",7,518.46,4.04,100,"Intermediate","Large"
228,"PL-0047","SAST","Low",3,518.72,4.56,34.17,"Senior","Small"
229,"PL-0105","Container","Low",1,518.85,5.49,9.88,"Intermediate","Medium"
230,"PL-0202","Container","High",2,519.85,3.66,63.95,"Junior","Small"
231,"PL-0088","Container","High",11,520.23,6.56,83.21,"Intermediate","Small"
232,"PL-0268","DAST","Low",1,523,4.4,23.33,"Senior","Medium"
233,"PL-0181","SCA","Medium",6,533.98,4.35,53.7,"Intermediate","Large"
234,"PL-0010","SAST","Low",2,539.81,3.89,21.74,"Senior","Medium"
235,"PL-0121","SAST","Low",2,540.49,3.52,18.33,"Senior","Small"
236,"PL-0089","SAST","Medium",3,543.09,4.18,60.2,"Junior","Small"
237,"PL-0037","SAST","Medium",2,557.44,3.49,59.69,"Junior","Large"
238,"PL-0194","SAST","Low",1,559.07,4.31,12.8,"Intermediate","Medium"
239,"PL-0163","DAST","Medium",8,559.79,7.15,50.71,"Junior","Small"
240,"PL-0283","SAST","Low",1,565.64,2.37,16.09,"Senior","Large"
241,"PL-0046","SAST","Medium",6,568.75,5.38,53.78,"Intermediate","Small"
242,"PL-0287","IaC","Low",2,572.33,4.38,9.07,"Intermediate","Medium"
243,"PL-0280","DAST","Medium",2,573.18,6.34,46.34,"Intermediate","Medium"
244,"PL-0244","Container","Medium",2,575.49,6.26,43.09,"Junior","Small"
245,"PL-0203","SAST","High",8,576.8,5.41,78.1,"Intermediate","Small"
246,"PL-0225","SAST","Critical",4,578.12,3.5,96.83,"Senior","Medium"
247,"PL-0206","DAST","Medium",5,578.2,5.08,40.26,"Intermediate","Large"
248,"PL-0289","DAST","Medium",2,579,5.81,46.62,"Intermediate","Medium"
249,"PL-0093","DAST","Medium",5,579.09,8.33,45.62,"Junior","Small"
250,"PL-0292","SAST","High",5,584.27,4.66,67.71,"Intermediate","Small"
251,"PL-0172","SAST","Medium",5,586.14,3.07,44.34,"Senior","Medium"
252,"PL-0253","SCA","High",5,595.58,3.41,65.33,"Intermediate","Medium"
253,"PL-0135","SCA","Low",3,598.69,3.34,31.18,"Senior","Medium"
254,"PL-0261","DAST","High",10,603.95,7.47,87.04,"Senior","Small"
255,"PL-0159","SAST","High",7,607.27,4.32,81.62,"Intermediate","Medium"
256,"PL-0141","SCA","Low",1,607.43,4.26,21.98,"Junior","Large"
257,"PL-0030","SAST","Low",3,607.97,4.37,28.16,"Intermediate","Medium"
258,"PL-0054","IaC","High",7,611.23,4.25,88.45,"Senior","Small"
259,"PL-0002","DAST","Medium",3,614.87,5.03,54.31,"Senior","Small"
260,"PL-0028","IaC","Medium",3,615.33,3.81,35.56,"Junior","Large"
261,"PL-0111","Container","High",6,622.85,3.62,82.59,"Junior","Medium"
262,"PL-0212","SAST","Critical",8,623.37,4.56,100,"Junior","Medium"
263,"PL-0235","IaC","Critical",8,628.08,3.61,99.95,"Intermediate","Small"
264,"PL-0265","SAST","Medium",3,629.26,4.28,50.61,"Junior","Medium"
265,"PL-0138","Container","Medium",4,635.36,5.95,44.6,"Junior","Small"
266,"PL-0199","SAST","Low",3,641.46,3.42,48.4,"Junior","Medium"
267,"PL-0115","IaC","High",4,643.81,3.04,78.72,"Senior","Medium"
268,"PL-0082","DAST","Medium",1,645.76,5.93,52.07,"Intermediate","Small"
269,"PL-0108","SAST","Low",2,646.38,3.16,17.88,"Senior","Medium"
270,"PL-0202","DAST","Medium",4,647.64,4.72,51.43,"Junior","Medium"
271,"PL-0073","SCA","High",5,649.54,2.77,83.34,"Junior","Small"
272,"PL-0147","IaC","Medium",4,650.81,4.24,42.19,"Intermediate","Small"
273,"PL-0046","SAST","Critical",10,651.02,5.18,100,"Junior","Small"
274,"PL-0247","IaC","Medium",6,652,1.68,46.61,"Junior","Large"
275,"PL-0131","IaC","Critical",8,652.49,3.42,100,"Intermediate","Small"
276,"PL-0150","DAST","Low",2,653.03,6.58,24.6,"Intermediate","Medium"
277,"PL-0061","Container","Medium",2,654.92,5.38,37.98,"Senior","Small"
278,"PL-0020","DAST","Medium",5,659.02,5.49,48.56,"Intermediate","Medium"
279,"PL-0170","IaC","Low",3,660.2,4.24,23.52,"Intermediate","Large"
280,"PL-0017","Container","Medium",5,672.39,5.73,44.23,"Senior","Medium"
281,"PL-0082","SCA","Medium",5,674.54,3.68,55.11,"Intermediate","Medium"
282,"PL-0211","SAST","High",4,677.14,2.97,74.49,"Intermediate","Large"
283,"PL-0174","IaC","Medium",3,678.16,2.11,57.9,"Intermediate","Large"
284,"PL-0273","SAST","Medium",4,687.77,3.24,47.19,"Senior","Small"
285,"PL-0094","IaC","Low",1,688.67,4.93,22.54,"Junior","Large"
286,"PL-0178","Container","Medium",4,691.81,5.09,42.76,"Senior","Medium"
287,"PL-0179","SAST","High",12,692.53,4.99,91.21,"Senior","Medium"
288,"PL-0074","IaC","Medium",6,693.83,3.97,51.47,"Intermediate","Medium"
289,"PL-0231","SAST","Low",2,694.87,3.83,9.53,"Junior","Medium"
290,"PL-0116","IaC","Critical",9,697.25,4.75,100,"Intermediate","Medium"
291,"PL-0214","Container","Low",1,697.73,5.78,24.01,"Intermediate","Medium"
292,"PL-0108","SAST","Medium",4,700.89,4.67,55.88,"Intermediate","Large"
293,"PL-0147","SCA","Medium",3,700.96,5.17,52.86,"Intermediate","Small"
294,"PL-0236","SAST","Medium",9,704.22,6.45,58.21,"Intermediate","Small"
295,"PL-0089","Container","Medium",5,709.38,6.47,61.25,"Junior","Medium"
296,"PL-0030","IaC","Medium",5,709.75,2.34,63.88,"Junior","Small"
297,"PL-0106","Container","Low",2,712.94,6.38,13.6,"Junior","Medium"
298,"PL-0103","SAST","Low",2,713.68,4,26.14,"Intermediate","Small"
299,"PL-0243","SCA","High",7,714.66,4.51,81.82,"Junior","Small"
300,"PL-0258","SAST","Medium",5,716,3.67,35.3,"Intermediate","Small"
301,"PL-0184","SAST","Medium",3,720.06,4.54,53.44,"Senior","Small"
302,"PL-0287","DAST","Medium",7,722.66,7.94,53.06,"Intermediate","Small"
303,"PL-0197","SAST","High",4,723.32,4.26,78.09,"Intermediate","Small"
304,"PL-0142","IaC","Medium",6,729.49,3.73,53.59,"Senior","Medium"
305,"PL-0192","SAST","Medium",1,732.03,4.13,46.98,"Intermediate","Large"
306,"PL-0234","IaC","Low",2,732.69,3.85,12.47,"Senior","Medium"
307,"PL-0047","SCA","Medium",5,733.43,3.51,43.5,"Junior","Medium"
308,"PL-0193","DAST","Critical",6,735.86,4.83,92.57,"Senior","Small"
309,"PL-0049","DAST","High",11,736.32,7.5,84.27,"Intermediate","Medium"
310,"PL-0022","DAST","Medium",5,738.91,6.27,57.36,"Intermediate","Large"
311,"PL-0257","DAST","Medium",1,740.21,5.9,43.68,"Senior","Small"
312,"PL-0235","DAST","High",6,741.62,6.85,83.08,"Senior","Large"
313,"PL-0132","SAST","High",7,753.22,4.7,74.98,"Intermediate","Medium"
314,"PL-0067","SCA","Medium",1,754.12,3.54,57.2,"Intermediate","Small"
315,"PL-0187","DAST","High",3,758.37,6.06,74.43,"Junior","Large"
316,"PL-0053","SAST","Critical",4,758.82,4.63,93.89,"Junior","Large"
317,"PL-0125","SAST","Medium",3,762.31,2.09,56.9,"Junior","Small"
318,"PL-0059","DAST","Low",1,763.39,6.34,17.86,"Intermediate","Small"
319,"PL-0170","SCA","Low",2,769.9,3.05,26.1,"Intermediate","Medium"
320,"PL-0190","SCA","Medium",7,770.31,4.81,43.3,"Senior","Medium"
321,"PL-0162","Container","Medium",4,774.86,3.38,44.44,"Junior","Medium"
322,"PL-0087","DAST","Medium",5,775.91,8.01,38.17,"Junior","Large"
323,"PL-0228","SAST","High",5,782.24,4.27,73.67,"Senior","Small"
324,"PL-0057","SAST","Medium",1,784.32,4.94,48.85,"Intermediate","Medium"
325,"PL-0148","DAST","Medium",5,785.9,6.61,50.32,"Intermediate","Medium"
326,"PL-0027","SAST","High",7,786.28,5.22,75.31,"Senior","Small"
327,"PL-0174","SCA","High",5,788.85,4.47,84.07,"Intermediate","Medium"
328,"PL-0174","IaC","Low",2,791.13,2.75,17.21,"Intermediate","Small"
329,"PL-0003","SAST","Low",2,795.15,4.31,28.08,"Senior","Small"
330,"PL-0095","Container","Medium",3,796.94,5.4,53.48,"Intermediate","Medium"
331,"PL-0191","SAST","Low",3,797.44,3.28,18.15,"Intermediate","Large"
332,"PL-0138","IaC","Medium",2,804.36,1.7,49.3,"Intermediate","Small"
333,"PL-0255","Container","Medium",6,804.74,6.15,47.08,"Intermediate","Medium"
334,"PL-0084","DAST","Low",1,814.8,6.08,28.41,"Intermediate","Large"
335,"PL-0157","Container","Low",2,818.89,5.29,29.57,"Senior","Small"
336,"PL-0238","DAST","Medium",6,818.98,5.98,51.09,"Intermediate","Large"
337,"PL-0196","Container","Critical",10,820.55,6.17,100,"Junior","Medium"
338,"PL-0168","DAST","Low",1,822.34,5.66,22.71,"Intermediate","Medium"
339,"PL-0087","SAST","High",9,822.6,5.2,87.35,"Junior","Small"
340,"PL-0218","SAST","High",6,823.61,5.59,81.65,"Senior","Large"
341,"PL-0202","SAST","Low",1,825.25,3.99,27.38,"Junior","Medium"
342,"PL-0110","SCA","Low",3,827.57,3.78,13.3,"Junior","Small"
343,"PL-0119","SAST","Low",1,830.83,4.3,24.1,"Senior","Small"
344,"PL-0107","DAST","Low",3,831.11,5.63,14.46,"Intermediate","Large"
