"Threat","Type","Direction","Vector","Pattern","Medium","Speed","Impact","Mutation","Attack_Strength","Speed_N","Impact_N","Attack_N","Propagation_Score","Risk_Level"
"Data_Leak","External","Forward","Cloud","Circular","Wired",16.6,26.46,0.48,22.36,0.138329113924051,0.158815132048537,0.135226706527155,0.146,"Low"
"AI_Attack","Internal","Forward","Network","Linear","Wired",46.2,70.01,0.37,38.82,0.438075949367089,0.469664525339044,0.299252615844544,0.409,"Medium"
"Rogue_Employee","Internal","Forward","Email","Circular","Wired",71.48,72.57,0.92,48.61,0.694075949367089,0.487937187723055,0.396811160936721,0.522,"Medium"
"Insider_Malware","Internal","Cross","Email","Circular","Wired",35.32,78.25,0.83,56.41,0.327898734177215,0.52847965738758,0.474539113104136,0.452,"Medium"
"No_Encryption","Internal","Forward","Email","Linear","Wireless",54.73,97.34,0.26,57.78,0.524455696202532,0.664739471805853,0.488191330343797,0.57,"Medium"
"Insider_Malware","Internal","Cross","Email","Random","Hybrid",56.61,70.74,0.47,75.22,0.543493670886076,0.474875089221984,0.661983059292476,0.552,"Medium"
"Data_Leak","External","Cross","Network","Random","Wired",53.58,75.42,0.26,79.21,0.512810126582279,0.508279800142755,0.70174389636273,0.568,"Medium"
"AI_Attack","Internal","Downward","Email","Linear","Wireless",45.74,41.45,0.12,44.38,0.433417721518987,0.265810135617416,0.354658694569009,0.343,"Medium"
"Virus","Internal","Backward","Email","Circular","Wireless",40.73,71.99,0.49,63.38,0.382683544303797,0.483797287651677,0.543996013951171,0.472,"Medium"
"Hacker_Active","External","Downward","API","Linear","Wireless",40.45,38.89,0.48,34.68,0.379848101265823,0.247537473233405,0.257997010463378,0.29,"Low"
"No_Encryption","Internal","Cross","Email","Circular","Wireless",50.26,109.97,0.16,73.37,0.479189873417722,0.754889364739472,0.643547583457898,0.639,"High"
"Supply_Chain","External","Backward","USB","Circular","Wireless",69.49,62.86,0.84,46.89,0.673924050632911,0.418629550321199,0.379671150971599,0.484,"Medium"
"Insider_Malware","Internal","Backward","API","Random","Wireless",38.1,77.04,0.84,66.67,0.356050632911392,0.519842969307638,0.576781265570503,0.488,"Medium"
"No_Encryption","External","Forward","Email","Random","Hybrid",48.16,78.83,0.8,45.08,0.457924050632911,0.532619557458958,0.36163428001993,0.459,"Medium"
"Data_Leak","Internal","Forward","Cloud","Linear","Wired",51.49,43.85,0.38,60.25,0.491645569620253,0.282940756602427,0.512805181863478,0.415,"Medium"
"Data_Leak","External","Downward","API","Random","Wired",61.87,79.34,0.66,59.89,0.596759493670886,0.536259814418273,0.50921773791729,0.546,"Medium"
"Insider_Malware","Internal","Upward","Cloud","Random","Wired",46.53,48.54,0.87,43.91,0.441417721518987,0.316416845110635,0.349975087194818,0.364,"Medium"
"No_Encryption","External","Cross","Network","Linear","Hybrid",59.57,79.17,0.57,65.69,0.57346835443038,0.535046395431835,0.567015445939213,0.556,"Medium"
"Supply_Chain","Internal","Forward","Email","Circular","Wireless",27.55,57.62,0.74,109.14,0.249215189873418,0.381227694503926,1,0.527,"Medium"
"No_Encryption","Internal","Forward","Email","Random","Hybrid",60.78,56.4,0.68,60.31,0.585721518987342,0.372519628836545,0.513403089187843,0.479,"Medium"
"Supply_Chain","External","Cross","Cloud","Random","Wireless",51.45,78.28,0.79,53.76,0.491240506329114,0.528693790149893,0.44813153961136,0.493,"Medium"
"Weak_Password","Internal","Cross","Cloud","Random","Wired",33.57,77.33,0.55,52.27,0.310177215189873,0.521912919343326,0.43328350772297,0.432,"Medium"
"Data_Leak","Internal","Upward","API","Random","Wired",15.04,65.02,0.07,54.59,0.12253164556962,0.434047109207709,0.456402590931739,0.347,"Medium"
"Hacker_Passive","External","Upward","Network","Linear","Wired",44.52,55.27,0.33,62.53,0.421063291139241,0.364453961456103,0.535525660189337,0.433,"Medium"
"Supply_Chain","External","Cross","Email","Random","Wireless",60.03,73.88,0.05,46.92,0.578126582278481,0.497287651677373,0.379970104633782,0.486,"Medium"
"Rogue_Employee","Internal","Backward","USB","Random","Wireless",54.79,69.02,0.79,82.82,0.525063291139241,0.462598144182727,0.737717987045341,0.564,"Medium"
"Hacker_Passive","External","Downward","Email","Circular","Wireless",44.54,89.19,0.52,69.04,0.42126582278481,0.606566738044254,0.60039860488291,0.549,"Medium"
"Hacker_Active","External","Upward","API","Linear","Wireless",50.75,57.36,0.66,73.85,0.484151898734177,0.37937187723055,0.648330842052815,0.491,"Medium"
"Data_Leak","Internal","Downward","Email","Linear","Wired",52.34,67.54,0.36,80.75,0.500253164556962,0.45203426124197,0.717090184354758,0.546,"Medium"
"Data_Leak","Internal","Downward","Network","Circular","Wireless",38.71,115.42,0.98,43.66,0.362227848101266,0.793790149892934,0.347483806676632,0.53,"Medium"
"Weak_Password","External","Forward","API","Random","Wired",50.82,44.32,0.37,45.95,0.484860759493671,0.286295503211991,0.370303936223219,0.371,"Medium"
"Supply_Chain","Internal","Cross","API","Circular","Wired",51.68,76.35,0.6,64.93,0.493569620253165,0.514917915774447,0.559441953163926,0.522,"Medium"
"Data_Leak","Internal","Cross","Cloud","Circular","Hybrid",39.16,78.21,0.46,52.8,0.366784810126582,0.52819414703783,0.438565022421525,0.453,"Medium"
"Insider_Malware","Internal","Backward","Cloud","Random","Hybrid",52.97,61.02,0.57,67.67,0.506632911392405,0.405496074232691,0.586746387643249,0.49,"Medium"
"Virus","External","Cross","Cloud","Circular","Hybrid",54.66,55.81,0.95,58.95,0.523746835443038,0.36830835117773,0.499850523168909,0.454,"Medium"
"Weak_Password","External","Downward","Cloud","Circular","Wireless",57.89,40.86,0.91,70.59,0.556455696202532,0.261598857958601,0.615844544095665,0.456,"Medium"
"Rogue_Employee","External","Upward","Network","Random","Wireless",60.67,41.65,0.32,35.89,0.584607594936709,0.267237687366167,0.2700548081714,0.363,"Medium"
"Weak_Password","Internal","Forward","Cloud","Circular","Wireless",56.15,64.72,0.1,70.54,0.538835443037975,0.431905781584582,0.615346287992028,0.519,"Medium"
"Weak_Password","Internal","Upward","API","Linear","Hybrid",54.52,95.06,0.27,32.32,0.522329113924051,0.648465381870093,0.234479322371699,0.486,"Medium"
"No_Encryption","External","Downward","Cloud","Linear","Wireless",48.57,71.07,0.83,59.73,0.462075949367089,0.477230549607423,0.50762331838565,0.482,"Medium"
"Hacker_Active","Internal","Downward","API","Circular","Wired",56.73,100.91,0.95,67.06,0.544708860759494,0.690221270521056,0.580667663178874,0.614,"High"
"Weak_Password","Internal","Backward","USB","Circular","Wired",30.96,57.96,0.11,48.08,0.283746835443038,0.383654532476802,0.391529646238166,0.356,"Medium"
"Hacker_Passive","Internal","Backward","Email","Linear","Wired",59.81,81.57,0.59,82.51,0.575898734177215,0.552177016416845,0.73462879920279,0.614,"High"
"Hacker_Active","External","Upward","Cloud","Circular","Wireless",41.98,72.49,0.85,63.27,0.395341772151899,0.487366167023555,0.542899850523169,0.476,"Medium"
"Hacker_Passive","External","Backward","Cloud","Random","Hybrid",85.06,77.25,0.6,35.85,0.831594936708861,0.521341898643826,0.26965620328849,0.539,"Medium"
"Virus","External","Backward","USB","Linear","Hybrid",41.05,74.11,0.7,83.43,0.385924050632911,0.498929336188437,0.743796711509716,0.538,"Medium"
"Supply_Chain","External","Upward","Email","Random","Hybrid",6.69,85.55,0.1,64.66,0.0379746835443038,0.580585296216988,0.556751370204285,0.411,"Medium"
"Weak_Password","Internal","Forward","USB","Linear","Wireless",70.58,69.85,0.69,55.86,0.684962025316456,0.468522483940043,0.469058295964126,0.534,"Medium"
"AI_Attack","Internal","Downward","USB","Circular","Hybrid",41.02,89.37,0.77,70.87,0.385620253164557,0.60785153461813,0.618634778276034,0.544,"Medium"
"Data_Leak","External","Forward","API","Random","Wireless",58.89,79.8,0.04,41.25,0.566582278481013,0.5395431834404,0.323467862481315,0.483,"Medium"
"Virus","External","Forward","API","Random","Wired",53.39,69.81,0.88,60.03,0.510886075949367,0.468236973590293,0.510612855007474,0.494,"Medium"
"Weak_Password","Internal","Cross","Cloud","Random","Wired",66.44,67.74,0.12,64.25,0.643037974683544,0.453461812990721,0.552665670154459,0.54,"Medium"
"Data_Leak","External","Upward","Email","Linear","Wireless",36.45,44.47,0.76,16.18,0.339341772151899,0.287366167023555,0.0736422521175884,0.239,"Low"
"Data_Leak","Internal","Cross","Email","Random","Wired",32.16,57.03,0.98,53.85,0.295898734177215,0.377016416845111,0.449028400597907,0.374,"Medium"
"No_Encryption","Internal","Cross","USB","Linear","Wireless",65.97,64.73,0.13,49.64,0.638278481012658,0.43197715917202,0.407075236671649,0.486,"Medium"
"AI_Attack","External","Downward","API","Random","Hybrid",35.62,88.71,0.5,65.33,0.330936708860759,0.603140613847252,0.563428001993024,0.51,"Medium"
"Rogue_Employee","Internal","Upward","Email","Circular","Wired",26.99,85.83,0.93,76.7,0.243544303797468,0.582583868665239,0.67673143996014,0.509,"Medium"
"Data_Leak","External","Backward","Email","Random","Wireless",61.67,53.87,0.05,62.21,0.59473417721519,0.354461099214847,0.532336821126059,0.48,"Medium"
"AI_Attack","Internal","Cross","Email","Random","Wired",49.02,60.47,0.38,47.97,0.466632911392405,0.401570306923626,0.390433482810164,0.418,"Medium"
"No_Encryption","Internal","Downward","Email","Circular","Wireless",84.17,104.74,0.42,58.85,0.822582278481013,0.717558886509636,0.498854010961634,0.683,"High"
"AI_Attack","Internal","Cross","Email","Linear","Wired",55.15,41.75,0.97,44.85,0.528708860759494,0.267951463240542,0.359342301943199,0.374,"Medium"
"No_Encryption","External","Cross","Network","Circular","Wireless",44.7,73.59,0.37,44.87,0.422886075949367,0.495217701641685,0.359541604384654,0.433,"Medium"
"Weak_Password","Internal","Upward","Email","Random","Wireless",40.59,75.55,0.68,22.45,0.38126582278481,0.509207708779443,0.136123567513702,0.359,"Medium"
"Insider_Malware","External","Downward","Network","Circular","Wired",75.27,59.97,0.97,56.09,0.732455696202532,0.398001427551749,0.471350274040857,0.52,"Medium"
"Supply_Chain","Internal","Cross","Cloud","Random","Wireless",31.78,42.55,0.66,68.82,0.292050632911392,0.273661670235546,0.598206278026906,0.377,"Medium"
"Supply_Chain","External","Forward","Network","Circular","Hybrid",59.25,62.13,0.51,64.07,0.570227848101266,0.413418986438258,0.550871948181365,0.502,"Medium"
"Rogue_Employee","External","Backward","API","Circular","Wireless",58.43,123.77,0.98,44.27,0.561924050632911,0.853390435403283,0.353562531141007,0.616,"High"
"AI_Attack","Internal","Cross","Network","Circular","Wired",41.41,67.8,0.97,52.97,0.389569620253165,0.453890078515346,0.440259093173891,0.431,"Medium"
"Insider_Malware","External","Forward","API","Circular","Hybrid",73.04,65.54,0.89,76.96,0.709873417721519,0.437758743754461,0.679322371699053,0.592,"Medium"
"Hacker_Passive","External","Upward","Cloud","Random","Hybrid",38.79,73.59,0.63,71.09,0.363037974683544,0.495217701641685,0.620827105132038,0.493,"Medium"
"Insider_Malware","External","Forward","Network","Linear","Wired",49.71,46.62,0.68,68.09,0.473620253164557,0.302712348322627,0.590931738913802,0.44,"Medium"
"Hacker_Passive","Internal","Downward","Network","Linear","Hybrid",55.81,85.02,0.13,55.18,0.535392405063291,0.576802284082798,0.462282012954659,0.53,"Medium"
"Insider_Malware","External","Backward","Email","Linear","Wireless",84.85,84.39,0.22,59.21,0.82946835443038,0.572305496074233,0.502441454907823,0.628,"High"
"Weak_Password","External","Backward","Cloud","Linear","Wired",59.23,63.04,0.61,43.29,0.570025316455696,0.419914346895075,0.343796711509716,0.442,"Medium"
"Virus","External","Cross","Network","Random","Hybrid",75.97,71.19,0.82,60.58,0.739544303797468,0.478087080656674,0.516093672147484,0.568,"Medium"
"Hacker_Active","Internal","Upward","Network","Random","Hybrid",39.07,59.9,0.33,66.07,0.365873417721519,0.397501784439686,0.570802192326856,0.44,"Medium"
"Weak_Password","External","Backward","USB","Circular","Hybrid",23.82,83.8,0.78,60.82,0.211443037974684,0.568094218415418,0.518485301444943,0.446,"Medium"
"AI_Attack","Internal","Backward","Email","Linear","Hybrid",63.34,36.82,0.77,63.22,0.611645569620253,0.232762312633833,0.542401594419532,0.439,"Medium"
"Rogue_Employee","External","Upward","Network","Circular","Hybrid",25.57,65.55,0.3,23.93,0.229164556962025,0.437830121341899,0.150871948181365,0.289,"Low"
"AI_Attack","External","Backward","Email","Linear","Wireless",29.87,82.47,0.58,64.3,0.272708860759494,0.558600999286224,0.553163926258097,0.471,"Medium"
"Rogue_Employee","External","Forward","Network","Linear","Wireless",59.16,103.75,0.41,55.09,0.569316455696202,0.710492505353319,0.461385151968112,0.593,"Medium"
"Hacker_Active","External","Forward","Cloud","Circular","Wireless",49.16,51.83,0.38,41.08,0.468050632911392,0.339900071377587,0.321773791728949,0.373,"Medium"
"No_Encryption","External","Cross","Email","Linear","Wired",62.71,47.63,0.39,55.48,0.60526582278481,0.309921484653819,0.465271549576482,0.445,"Medium"
"No_Encryption","External","Cross","Email","Circular","Wired",71.5,67.84,0.97,62.85,0.694278481012658,0.454175588865096,0.538714499252616,0.552,"Medium"
"No_Encryption","External","Upward","Email","Linear","Hybrid",63.69,68.85,0.05,45.67,0.615189873417721,0.461384725196288,0.36751370204285,0.479,"Medium"
"Insider_Malware","Internal","Backward","Email","Linear","Hybrid",55.73,85.16,0.12,60.32,0.534582278481013,0.577801570306924,0.51350274040857,0.546,"Medium"
"Weak_Password","Internal","Upward","API","Circular","Hybrid",58.28,67.71,0.75,42.32,0.560405063291139,0.453247680228408,0.334130543099153,0.45,"Medium"
"No_Encryption","External","Forward","Email","Circular","Hybrid",52.17,58.52,0.11,43.77,0.49853164556962,0.387651677373305,0.348579970104634,0.409,"Medium"
"Insider_Malware","Internal","Backward","Email","Circular","Wired",75.63,107.8,0.07,87.21,0.736101265822785,0.739400428265525,0.781464872944693,0.751,"High"
"Supply_Chain","External","Downward","Cloud","Random","Hybrid",50.79,63.42,0.23,71.61,0.484556962025316,0.422626695217702,0.626008968609866,0.502,"Medium"
"Weak_Password","External","Upward","Cloud","Linear","Wireless",62.11,87.62,0.64,36.31,0.599189873417722,0.59536045681656,0.274240159441953,0.5,"Medium"
"Rogue_Employee","External","Downward","Cloud","Linear","Wired",35.9,84.89,0.37,56.44,0.333772151898734,0.57587437544611,0.474838066766318,0.473,"Medium"
"Supply_Chain","External","Cross","API","Linear","Wired",50.59,61.21,0.06,61.97,0.48253164556962,0.406852248394004,0.5299451918286,0.466,"Medium"
"No_Encryption","Internal","Forward","Email","Circular","Wireless",20.04,103.25,0.12,55.39,0.173164556962025,0.706923625981442,0.464374688589935,0.474,"Medium"
"Virus","Internal","Upward","Cloud","Linear","Wired",52.08,46.88,0.83,76.43,0.497620253164557,0.304568165596003,0.674040857000498,0.473,"Medium"
"AI_Attack","Internal","Backward","API","Circular","Wired",27.68,51.25,0.77,93.88,0.25053164556962,0.33576017130621,0.847932237169905,0.464,"Medium"
"Data_Leak","External","Cross","Email","Circular","Hybrid",48.01,93.34,0.79,51.31,0.456405063291139,0.636188436830835,0.423716990533134,0.519,"Medium"
"No_Encryption","External","Backward","Email","Random","Wired",46.4,38.85,0.25,72.67,0.440101265822785,0.247251962883655,0.636571998006976,0.422,"Medium"
"Weak_Password","Internal","Backward","Cloud","Linear","Wired",64.58,82.75,0.97,76.77,0.62420253164557,0.560599571734475,0.677428998505232,0.615,"High"
"Insider_Malware","External","Downward","Cloud","Linear","Wired",40.37,73.95,0.41,66.09,0.379037974683544,0.497787294789436,0.571001494768311,0.484,"Medium"
"Data_Leak","External","Upward","Network","Random","Wired",40.04,84.79,0.12,67.06,0.375696202531646,0.575160599571735,0.580667663178874,0.517,"Medium"
"No_Encryption","External","Forward","Network","Random","Wired",20.4,85.63,0.21,78.39,0.176810126582278,0.581156316916488,0.693572496263079,0.494,"Medium"
"Hacker_Passive","External","Forward","Email","Random","Wired",59.31,56.69,0.83,61.81,0.570835443037975,0.374589578872234,0.528350772296961,0.48,"Medium"
"AI_Attack","Internal","Cross","Network","Circular","Wired",66.33,56.31,0.74,30.33,0.641924050632911,0.371877230549607,0.214648729446936,0.406,"Medium"
"Rogue_Employee","External","Forward","Network","Circular","Hybrid",46.61,86.29,0.41,66.71,0.442227848101266,0.585867237687366,0.577179870453413,0.54,"Medium"
"Virus","Internal","Cross","Email","Circular","Wired",72.2,87.77,0.84,40.68,0.701367088607595,0.596431120628123,0.317787742899851,0.544,"Medium"
"No_Encryption","Internal","Downward","Email","Linear","Wireless",43.85,47.73,0.59,50.82,0.414278481012658,0.310635260528194,0.418834080717489,0.374,"Medium"
"Virus","Internal","Upward","Email","Linear","Wireless",34.97,45.36,0.56,56.41,0.324354430379747,0.293718772305496,0.474539113104136,0.357,"Medium"
"Hacker_Active","Internal","Downward","USB","Circular","Wireless",53.44,48.51,0.34,28.17,0.511392405063291,0.316202712348323,0.193124065769806,0.338,"Medium"
"Rogue_Employee","Internal","Cross","USB","Linear","Hybrid",60.29,69.7,0.8,57.25,0.580759493670886,0.46745182012848,0.482909815645242,0.506,"Medium"
"Virus","External","Backward","Cloud","Linear","Wireless",27.6,69.58,0.66,73.31,0.249721518987342,0.466595289079229,0.642949676133533,0.454,"Medium"
"Data_Leak","Internal","Downward","USB","Linear","Wireless",25.47,116.55,0.29,50.66,0.228151898734177,0.801855817273376,0.41723966118585,0.514,"Medium"
"Rogue_Employee","External","Backward","Cloud","Circular","Hybrid",50.7,80.75,0.13,37.7,0.483645569620253,0.546324054246967,0.288091679123069,0.45,"Medium"
"Weak_Password","External","Forward","Email","Random","Wireless",57.21,66.98,0.36,55.47,0.549569620253165,0.448037116345468,0.465171898355755,0.484,"Medium"
"Virus","Internal","Backward","USB","Random","Wired",14.83,59.44,0.18,51.4,0.120405063291139,0.394218415417559,0.424613851519681,0.321,"Medium"
"Rogue_Employee","External","Forward","API","Random","Wireless",24.41,59.3,0.66,64.66,0.217417721518987,0.393219129193433,0.556751370204285,0.39,"Medium"
"AI_Attack","Internal","Upward","Email","Linear","Wireless",54.62,57.6,0.79,50.68,0.523341772151899,0.381084939329051,0.417438963627304,0.435,"Medium"
"Virus","External","Forward","Network","Linear","Hybrid",63.33,48.12,0.73,49.48,0.611544303797468,0.313418986438258,0.40548081714001,0.43,"Medium"
"Virus","External","Cross","Email","Linear","Wired",44.29,73.5,0,65.37,0.41873417721519,0.494575303354747,0.563826606875934,0.493,"Medium"
"Weak_Password","External","Cross","Network","Circular","Wireless",68.01,6.22,0.06,67.44,0.65893670886076,0.0143468950749465,0.584454409566517,0.379,"Medium"
"Hacker_Active","External","Downward","USB","Random","Hybrid",40.79,46.61,0.39,77.18,0.383291139240506,0.302640970735189,0.681514698555058,0.44,"Medium"
"Insider_Malware","Internal","Cross","Cloud","Random","Wireless",47.5,89.83,0.87,75.98,0.451240506329114,0.611134903640257,0.669556552067763,0.581,"Medium"
"Virus","Internal","Upward","Email","Circular","Wired",70.25,72.98,0.33,50.17,0.681620253164557,0.490863668807994,0.412356751370204,0.525,"Medium"
"Data_Leak","Internal","Backward","USB","Random","Wireless",48.78,81.09,0.27,73.58,0.46420253164557,0.548750892219843,0.645640259093174,0.552,"Medium"
"No_Encryption","Internal","Upward","API","Random","Hybrid",50.39,58.21,0.77,40.13,0.480506329113924,0.385438972162741,0.312306925759841,0.392,"Medium"
"Rogue_Employee","Internal","Forward","Cloud","Circular","Hybrid",36.5,98.19,0.41,62.4,0.339848101265823,0.670806566738044,0.53423019431988,0.531,"Medium"
"Supply_Chain","Internal","Downward","Cloud","Linear","Hybrid",51.01,64.05,0.67,30.19,0.486784810126582,0.427123483226267,0.213253612356751,0.381,"Medium"
"Hacker_Passive","External","Forward","Network","Random","Wired",40.34,81.75,0.49,66.07,0.37873417721519,0.553461812990721,0.570802192326856,0.506,"Medium"
"Weak_Password","Internal","Downward","Email","Circular","Wired",23.01,70.27,0.09,43.9,0.203240506329114,0.47152034261242,0.349875435974091,0.355,"Medium"
"Data_Leak","External","Upward","API","Circular","Wired",35.44,79.58,0.1,58.89,0.329113924050633,0.537972876516774,0.499252615844544,0.464,"Medium"
"Rogue_Employee","Internal","Forward","USB","Linear","Hybrid",46.42,61.17,0.93,64.11,0.440303797468354,0.406566738044254,0.551270553064275,0.46,"Medium"
"Insider_Malware","Internal","Cross","API","Random","Hybrid",52.45,94.88,0.77,37.5,0.501367088607595,0.647180585296217,0.28609865470852,0.495,"Medium"
"Virus","External","Cross","Cloud","Random","Wired",66.02,59.65,0.85,73.47,0.638784810126582,0.395717344753747,0.644544095665172,0.543,"Medium"
"Supply_Chain","Internal","Forward","API","Random","Hybrid",50.58,127.2,0.42,76.45,0.482430379746835,0.877872947894361,0.674240159441953,0.698,"High"
"No_Encryption","External","Cross","Cloud","Circular","Wireless",48.09,66.77,0.92,64.16,0.457215189873418,0.446538187009279,0.551768809167912,0.481,"Medium"
"Hacker_Active","External","Upward","Network","Random","Wireless",66.59,72.52,0.53,41.47,0.644556962025317,0.487580299785867,0.325660189337319,0.486,"Medium"
"Rogue_Employee","Internal","Upward","USB","Linear","Wired",86.23,57.6,0.17,37.73,0.843443037974684,0.381084939329051,0.288390632785252,0.492,"Medium"
"Rogue_Employee","Internal","Upward","USB","Linear","Wireless",48.72,84.66,0.34,37.45,0.463594936708861,0.574232690935046,0.285600398604883,0.454,"Medium"
"Insider_Malware","External","Upward","Cloud","Random","Wireless",67.67,73.78,0.97,53.31,0.655493670886076,0.496573875802998,0.443647234678625,0.528,"Medium"
"Data_Leak","External","Cross","Network","Random","Wireless",57.29,82.71,0.69,58.4,0.550379746835443,0.560314061384725,0.494369706028899,0.538,"Medium"
"Rogue_Employee","Internal","Cross","Cloud","Random","Hybrid",48.86,84.26,0.89,65.3,0.465012658227848,0.571377587437545,0.563129048330842,0.537,"Medium"
"Hacker_Passive","External","Cross","Network","Circular","Wireless",21.19,54.62,0.65,71.94,0.184810126582278,0.359814418272662,0.629297458893871,0.388,"Medium"
"Supply_Chain","Internal","Backward","Network","Circular","Hybrid",35.49,86.52,0.88,52.22,0.329620253164557,0.58750892219843,0.432785251619332,0.464,"Medium"
"Data_Leak","Internal","Backward","API","Circular","Wired",41.65,46.2,0.85,76.52,0.392,0.29971448965025,0.674937717987045,0.44,"Medium"
"No_Encryption","External","Backward","Email","Random","Wireless",33.35,73.07,0.11,54.45,0.307949367088608,0.491506067094932,0.455007473841555,0.425,"Medium"
"No_Encryption","Internal","Cross","USB","Linear","Wireless",32.58,88.25,0.26,37.49,0.300151898734177,0.599857244825125,0.285999003487793,0.416,"Medium"
"Insider_Malware","External","Upward","USB","Circular","Hybrid",43.81,38.17,0.47,70.7,0.413873417721519,0.242398286937902,0.616940707523667,0.406,"Medium"
"Insider_Malware","External","Downward","Network","Linear","Wired",64.28,61.17,0.9,68.35,0.621164556962025,0.406566738044254,0.593522670652715,0.527,"Medium"
"Rogue_Employee","Internal","Forward","Cloud","Linear","Wireless",36.2,61.94,0.57,61.77,0.336810126582279,0.412062812276945,0.527952167414051,0.424,"Medium"
"Weak_Password","Internal","Forward","Cloud","Circular","Wireless",51.77,28.75,0.52,67.37,0.494481012658228,0.175160599571734,0.583756851021425,0.394,"Medium"
"No_Encryption","Internal","Cross","Cloud","Random","Wireless",46.96,65.95,0.09,81.45,0.445772151898734,0.4406852248394,0.72406576980568,0.527,"Medium"
"Insider_Malware","External","Backward","Email","Random","Wireless",61.9,98.15,0.07,55.05,0.597063291139241,0.670521056388294,0.460986547085202,0.586,"Medium"
"Hacker_Active","Internal","Cross","Email","Random","Wired",50.58,41.85,0.42,75.15,0.482430379746835,0.268665239114918,0.661285500747384,0.451,"Medium"
"Data_Leak","External","Downward","Network","Circular","Wireless",47.48,48.01,0.24,51.74,0.451037974683544,0.312633832976445,0.428001993024415,0.389,"Medium"
"AI_Attack","External","Backward","Network","Random","Wired",41.24,62.14,0.78,80.77,0.387848101265823,0.413490364025696,0.717289486796213,0.497,"Medium"
"Insider_Malware","Internal","Upward","API","Circular","Wired",63.38,68.81,0.71,57.52,0.612050632911393,0.461099214846538,0.485600398604883,0.514,"Medium"
"Supply_Chain","External","Downward","Cloud","Random","Wired",67.09,72.1,0.62,56.51,0.649620253164557,0.48458244111349,0.47553562531141,0.531,"Medium"
"Weak_Password","External","Backward","USB","Random","Wireless",50.29,73.78,0.14,69.3,0.479493670886076,0.496573875802998,0.602989536621824,0.523,"Medium"
"Data_Leak","Internal","Upward","Network","Random","Hybrid",99.08,64.44,0.6,69.11,0.973569620253165,0.429907209136331,0.601096163428002,0.644,"High"
"Virus","External","Upward","Cloud","Linear","Wired",49.96,117.18,0.03,81.62,0.476151898734177,0.806352605281942,0.725759840558047,0.683,"High"
"Insider_Malware","External","Cross","API","Random","Wireless",93.86,61.05,0.93,67.05,0.920708860759494,0.405710206995004,0.580568011958146,0.613,"High"
"No_Encryption","Internal","Upward","Network","Random","Wired",47.99,43.29,0.4,75.12,0.45620253164557,0.278943611705924,0.660986547085202,0.447,"Medium"
"Data_Leak","External","Upward","USB","Linear","Hybrid",26.44,38.7,0.23,70.26,0.237974683544304,0.246181299072091,0.612556053811659,0.354,"Medium"
"No_Encryption","External","Downward","Cloud","Random","Wired",28.63,66.01,0.69,52.8,0.260151898734177,0.441113490364026,0.438565022421525,0.386,"Medium"
"Insider_Malware","Internal","Cross","Email","Random","Wired",36.93,59.21,0.79,79.01,0.34420253164557,0.392576730906495,0.699750871948181,0.47,"Medium"
"Virus","External","Cross","Email","Random","Wired",72.18,90.99,0.83,45.48,0.701164556962025,0.619414703783012,0.365620328849028,0.568,"Medium"
