"Threat_Source","Direction","Pattern","Medium","Attack_Strength","Propagation_Speed","Impact","Mutation","Vulnerability_Score","Risk_Score","Risk_Norm","Impact_Norm","Speed_Norm","Propagation_Probability","Threat_Type"
"Malware","Backward","Hybrid","Cloud",6.61,5.01,91.87,0,8,7.46,0.747019867549669,0.91075998664738,0.445555555555556,0.77,"External"
"Phishing","Downward","Hybrid","Network",1.04,2.52,65.09,0,1.39,3.56,0.23046357615894,0.612774006898854,0.168888888888889,0.45,"External"
"Unpatched_System","Downward","Circular","Email",9.65,4.09,69.28,0,5.99,7.08,0.696688741721854,0.659396906642929,0.343333333333333,0.68,"Internal"
"Misconfiguration","Downward","Random","Internal_System",4.92,9.78,99.54,1,4.63,7.88,0.802649006622517,0.996105485701569,0.975555555555556,0.92,"Internal"
"Unpatched_System","Cross","Random","Cloud",7.24,9.54,35.03,0,9.42,6.42,0.609271523178808,0.278290864582174,0.948888888888889,0.69,"Internal"
"Misconfiguration","Cross","Random","Cloud",8.29,2.45,15.38,1,4.64,4.06,0.296688741721854,0.0596417046845444,0.161111111111111,0.36,"Internal"
"Phishing","Upward","Linear","Internal_System",3.39,8.64,40.8,1,6.06,4.98,0.418543046357616,0.342494714587738,0.848888888888889,0.61,"External"
"Misconfiguration","Cross","Random","Cloud",8.62,8.18,18.6,0,4.35,5.4,0.474172185430464,0.0954712362301102,0.797777777777778,0.57,"Internal"
"Misconfiguration","Upward","Random","Internal_System",5.6,3.93,93.62,1,5.4,6.75,0.652980132450331,0.930232558139535,0.325555555555556,0.71,"Internal"
"Insider_Attack","Upward","Hybrid","Email",7.77,2.88,73.89,1,6.52,6.51,0.621192052980132,0.710693223545121,0.208888888888889,0.63,"Internal"
"Data_Leak","Forward","Hybrid","USB",2.95,1.38,98.15,0,8.92,5.98,0.550993377483444,0.980638700344943,0.0422222222222222,0.62,"Internal"
"Unpatched_System","Forward","Hybrid","Cloud",4.18,4.56,60.78,0,1.82,4.78,0.39205298013245,0.564815845109603,0.395555555555555,0.55,"Internal"
"Misconfiguration","Downward","Circular","Network",7.18,1.76,38.62,0,5.79,4.63,0.372185430463576,0.318237454100367,0.0844444444444444,0.43,"Internal"
"Insider_Attack","Backward","Random","Cloud",2.6,1.41,34.26,1,4.39,2.87,0.139072847682119,0.269722933125626,0.0455555555555555,0.32,"Internal"
"Virus","Upward","Hybrid","Cloud",1.43,6.67,47.3,0,8.4,4.5,0.354966887417219,0.414821408701458,0.63,0.55,"External"
"Misconfiguration","Backward","Random","USB",2.89,1.09,90.09,1,1.5,4.84,0.4,0.89095359964393,0.01,0.54,"Internal"
"Misconfiguration","Backward","Linear","Cloud",2.35,5.96,97.21,0,3.39,6.12,0.56953642384106,0.970179147657728,0.551111111111111,0.73,"Internal"
"Unpatched_System","Cross","Circular","Internal_System",5.59,6.64,83.62,1,5.06,6.86,0.667549668874172,0.818960721041504,0.626666666666667,0.76,"Internal"
"Weak_Password","Forward","Hybrid","USB",1.38,6.51,64.73,1,9.7,5.28,0.458278145695364,0.608768220763325,0.612222222222222,0.63,"Internal"
"Phishing","Backward","Linear","Network",2.99,8.04,80.7,1,1.13,5.85,0.533774834437086,0.78646934460888,0.782222222222222,0.73,"External"
"Hacker_Human","Backward","Circular","USB",8.16,2.38,92.5,1,7.56,7.38,0.736423841059603,0.917770112384555,0.153333333333333,0.71,"External"
"Data_Leak","Cross","Linear","Network",8.66,8.34,96.28,1,7.99,8.92,0.940397350993378,0.959830866807611,0.815555555555556,0.93,"Internal"
"Data_Leak","Cross","Random","Network",7.53,1.92,63.42,0,8.47,6.03,0.557615894039735,0.594191610103483,0.102222222222222,0.56,"Internal"
"Hacker_Human","Cross","Circular","Network",4.45,2.34,31.55,1,7.17,3.78,0.259602649006622,0.23956826527206,0.148888888888889,0.38,"External"
"Virus","Cross","Linear","Email",7.76,8.46,86.77,1,3.52,7.84,0.797350993377483,0.854011349727384,0.828888888888889,0.86,"External"
"Insider_Attack","Upward","Hybrid","Cloud",2.24,1.94,43.03,0,7.72,3.55,0.229139072847682,0.367308334260599,0.104444444444444,0.39,"Internal"
"Misconfiguration","Upward","Hybrid","USB",7.72,6.37,88.19,1,8.22,7.94,0.810596026490066,0.869811950595304,0.596666666666667,0.82,"Internal"
"Phishing","Forward","Linear","Internal_System",4.92,7.24,50.82,0,9.41,5.9,0.540397350993378,0.453989095359964,0.693333333333333,0.65,"External"
"Insider_Attack","Upward","Random","Cloud",6.58,5.35,26.02,1,3.77,4.46,0.349668874172185,0.178034939356849,0.483333333333333,0.47,"Internal"
"Data_Leak","Backward","Hybrid","Internal_System",1.05,7.69,89.64,0,3.82,5.82,0.529801324503311,0.885946366974519,0.743333333333333,0.74,"Internal"
"Hacker_AI","Backward","Hybrid","Email",2.09,4.09,54.78,1,3.25,3.96,0.283443708609272,0.498052742850784,0.343333333333333,0.48,"External"
"Data_Leak","Forward","Hybrid","Email",5.93,4.01,39.95,0,9.04,5.08,0.431788079470199,0.333036608434405,0.334444444444444,0.51,"Internal"
"Weak_Password","Upward","Circular","Internal_System",6.54,6.26,15.79,0,7.98,4.64,0.373509933774834,0.0642038500055636,0.584444444444444,0.48,"Internal"
"Misconfiguration","Forward","Circular","USB",6.24,8.35,34.61,0,6.36,5.56,0.495364238410596,0.273617447424057,0.816666666666667,0.62,"Internal"
"Virus","Upward","Linear","Cloud",3.26,1.21,37.83,0,9.06,3.64,0.241059602649007,0.309446978969623,0.0233333333333333,0.36,"External"
"Weak_Password","Upward","Circular","USB",7.46,5.05,50.03,1,9.57,6.21,0.581456953642384,0.44519862022922,0.45,0.61,"Internal"
"Misconfiguration","Downward","Hybrid","Internal_System",5.51,6.86,16.52,0,5.35,4.22,0.317880794701987,0.0723266941137198,0.651111111111111,0.47,"Internal"
"Weak_Password","Cross","Random","Network",7.92,3.85,18.6,1,9.5,4.84,0.4,0.0954712362301102,0.316666666666667,0.44,"Internal"
"Data_Leak","Cross","Hybrid","Email",8.59,1.39,32.57,1,5.44,4.7,0.381456953642384,0.250917992656059,0.0433333333333333,0.41,"Internal"
"Virus","Backward","Hybrid","Cloud",8.2,3.53,81.8,0,7.96,7.23,0.716556291390729,0.798709246689663,0.281111111111111,0.7,"External"
"Malware","Downward","Circular","USB",6.09,8.5,80.49,1,6.84,7.43,0.743046357615894,0.784132636029821,0.833333333333333,0.82,"External"
"Hacker_AI","Cross","Linear","Email",7.65,6.67,71.75,1,4.12,6.91,0.674172185430464,0.686881050406142,0.63,0.73,"External"
"Misconfiguration","Cross","Hybrid","Internal_System",1.77,8.98,40.71,0,7.73,4.73,0.385430463576159,0.341493268053856,0.886666666666667,0.6,"Internal"
"Hacker_Human","Downward","Random","USB",9.94,4.82,47.5,1,1.19,5.96,0.548344370860927,0.417046845443418,0.424444444444444,0.59,"External"
"Phishing","Upward","Circular","Email",2.33,9.68,99.58,1,6.03,7.22,0.71523178807947,0.996550573049961,0.964444444444444,0.88,"External"
"Misconfiguration","Cross","Hybrid","Cloud",3.31,9.98,70.8,1,2.26,6.05,0.560264900662252,0.676310225881829,0.997777777777778,0.76,"Internal"
"Malware","Backward","Hybrid","Cloud",3.31,9.75,42.61,0,9.04,5.55,0.494039735099338,0.362634917102481,0.972222222222222,0.66,"External"
"Malware","Upward","Hybrid","Email",1.91,3.49,28.06,0,3.19,2.71,0.117880794701987,0.200734394124847,0.276666666666667,0.34,"External"
"Unpatched_System","Downward","Linear","Internal_System",1.45,5.93,68.26,1,9.3,5.28,0.458278145695364,0.64804717925893,0.547777777777778,0.62,"Internal"
"Misconfiguration","Forward","Random","Internal_System",4.93,2.27,89.66,1,8.4,6.36,0.601324503311258,0.886168910648715,0.141111111111111,0.65,"Internal"
"Insider_Attack","Backward","Linear","Cloud",7.44,6.21,47.96,1,5.45,5.94,0.545695364238411,0.422165349949928,0.578888888888889,0.62,"Internal"
"Phishing","Upward","Circular","USB",9.48,2.8,43.72,1,2.87,5.44,0.479470198675497,0.374986091020363,0.2,0.51,"External"
"Insider_Attack","Forward","Linear","Internal_System",4.89,4.14,70.57,1,7.1,5.83,0.53112582781457,0.673750973628575,0.348888888888889,0.62,"Internal"
"Unpatched_System","Backward","Random","Internal_System",8.33,9.39,47.64,0,7.73,7.06,0.694039735099338,0.418604651162791,0.932222222222222,0.75,"Internal"
"Hacker_AI","Forward","Hybrid","USB",1.13,3.06,88.87,1,3.19,4.82,0.397350993377483,0.87737843551797,0.228888888888889,0.58,"External"
"Hacker_Human","Upward","Linear","USB",3.42,5.54,39.42,0,4.55,4.17,0.311258278145695,0.32713920106821,0.504444444444444,0.49,"External"
"Data_Leak","Cross","Linear","Network",5.12,9.4,35.29,0,4.33,5.26,0.455629139072848,0.281183932346723,0.933333333333333,0.63,"Internal"
"Misconfiguration","Upward","Random","USB",2.36,8.09,75.73,0,6.55,6.01,0.554966887417219,0.731167241571158,0.787777777777778,0.73,"Internal"
"Phishing","Cross","Linear","USB",7.24,5.09,20.48,1,7.29,4.74,0.386754966887417,0.11639034160454,0.454444444444444,0.47,"External"
"Insider_Attack","Cross","Linear","Network",8.42,9.07,87.03,1,4.7,8.29,0.856953642384106,0.856904417491933,0.896666666666667,0.89,"Internal"
"Hacker_Human","Upward","Circular","Internal_System",9.15,9.39,56.72,1,2.24,7.12,0.701986754966887,0.519639479247802,0.932222222222222,0.77,"External"
"Hacker_AI","Forward","Random","Email",3.95,1.7,40.04,1,9.27,4.05,0.295364238410596,0.334038054968287,0.0777777777777778,0.4,"External"
"Insider_Attack","Upward","Hybrid","Internal_System",1.31,4.37,93.62,0,8.36,5.85,0.533774834437086,0.930232558139535,0.374444444444444,0.67,"Internal"
"Misconfiguration","Cross","Random","Internal_System",1.9,2.45,68.08,0,3.65,4.15,0.308609271523179,0.646044286191165,0.161111111111111,0.48,"Internal"
"Hacker_AI","Cross","Linear","Network",5.59,7.7,73.32,0,9.86,7.14,0.704635761589404,0.704350728830533,0.744444444444444,0.77,"External"
"Malware","Downward","Hybrid","Email",3.08,3.56,44.31,0,6.09,4.02,0.291390728476821,0.381551129409147,0.284444444444444,0.45,"External"
"Hacker_Human","Cross","Linear","Cloud",9.25,1.11,17.87,0,7.15,4.43,0.345695364238411,0.0873483921219539,0.0122222222222222,0.36,"External"
"Hacker_Human","Forward","Hybrid","Network",1.16,3.56,59.09,0,5.16,3.94,0.280794701986755,0.546010904640036,0.284444444444444,0.48,"External"
"Hacker_AI","Upward","Random","Email",5.17,3.67,16.82,0,3.63,3.32,0.198675496688742,0.0756648492266607,0.296666666666667,0.35,"External"
"Misconfiguration","Downward","Hybrid","Internal_System",9.28,7.92,79.73,1,6.06,8.16,0.839735099337748,0.775675976410371,0.768888888888889,0.84,"Internal"
"Unpatched_System","Downward","Random","Internal_System",8.17,5.19,26.43,0,6.79,5.23,0.451655629139073,0.182597084677868,0.465555555555556,0.51,"Internal"
"Unpatched_System","Forward","Hybrid","Email",2.39,3.71,33.39,0,3.21,3.12,0.172185430463576,0.260042283298097,0.301111111111111,0.38,"Internal"
"Malware","Backward","Random","USB",5.68,3.21,70.02,1,3.04,5.45,0.480794701986755,0.667631022588183,0.245555555555556,0.57,"External"
"Misconfiguration","Backward","Hybrid","Email",1.12,7.48,81.88,1,3.39,5.45,0.480794701986755,0.799599421386447,0.72,0.7,"Internal"
"Misconfiguration","Upward","Random","Internal_System",1.04,1.32,98.56,1,6.12,5.13,0.43841059602649,0.985200845665962,0.0355555555555556,0.58,"Internal"
"Misconfiguration","Upward","Random","USB",4.97,1.81,27.78,1,1.73,3.14,0.174834437086093,0.197618782686102,0.09,0.33,"Internal"
"Malware","Downward","Hybrid","USB",4.23,2.71,23.84,0,6.49,3.41,0.210596026490066,0.153777678869478,0.19,0.35,"External"
"Malware","Forward","Circular","Internal_System",8.54,7.46,75.63,0,5.45,7.62,0.768211920529801,0.730054523200178,0.717777777777778,0.8,"External"
"Hacker_Human","Cross","Circular","USB",2.5,8.44,66.28,1,7.32,5.82,0.529801324503311,0.62601535551352,0.826666666666667,0.7,"External"
"Insider_Attack","Backward","Hybrid","USB",4.56,6.27,90.99,1,2.6,6.52,0.622516556291391,0.900968064982753,0.585555555555555,0.75,"Internal"
"Hacker_Human","Backward","Linear","Email",7.92,9.62,96.21,0,7.33,8.88,0.935099337748345,0.959051963947925,0.957777777777778,0.96,"External"
"Weak_Password","Upward","Hybrid","Email",7.04,2.16,46,1,9.55,5.34,0.466225165562914,0.400356069878714,0.128888888888889,0.49,"Internal"
"Unpatched_System","Cross","Circular","USB",7.47,6.51,16.23,0,4.83,4.68,0.378807947019868,0.0690998108378769,0.612222222222222,0.49,"Internal"
"Phishing","Forward","Linear","Internal_System",6.61,7.01,48.02,0,9.94,6.3,0.593377483443709,0.422832980972516,0.667777777777778,0.66,"External"
"Malware","Forward","Linear","Cloud",6.15,2.36,64.61,1,7.06,5.61,0.501986754966887,0.607432958718148,0.151111111111111,0.55,"External"
"Weak_Password","Backward","Random","Email",6.86,2.24,55.34,1,3.57,5.08,0.431788079470199,0.504283965728274,0.137777777777778,0.5,"Internal"
"Insider_Attack","Downward","Random","Email",6.73,2.49,44.13,1,9.37,5.22,0.450331125827815,0.379548236341382,0.165555555555556,0.49,"Internal"
"Malware","Forward","Hybrid","Internal_System",6.78,7.67,68.46,1,2.14,6.52,0.622516556291391,0.65027261600089,0.741111111111111,0.73,"External"
"Insider_Attack","Backward","Hybrid","Email",2.09,8.62,90.04,0,1.99,6.15,0.573509933774835,0.89039724045844,0.846666666666667,0.78,"Internal"
"Phishing","Forward","Linear","Internal_System",2.66,9.64,56.33,1,8.41,5.82,0.529801324503311,0.515299877600979,0.96,0.71,"External"
"Unpatched_System","Forward","Linear","USB",8.02,6.53,94.53,1,6.4,8.13,0.835761589403974,0.940358295315456,0.614444444444444,0.85,"Internal"
"Phishing","Downward","Random","Internal_System",3.58,9.81,26.86,1,9.33,5.04,0.426490066225166,0.187381773673083,0.978888888888889,0.6,"External"
"Virus","Cross","Linear","Cloud",1.68,5.49,36.01,1,6.87,3.73,0.252980132450331,0.289195504617781,0.498888888888889,0.46,"External"
"Malware","Cross","Random","Cloud",3.15,4.55,42.45,0,7.21,4.27,0.324503311258278,0.360854567708913,0.394444444444444,0.48,"External"
"Misconfiguration","Cross","Circular","Network",8.65,6.36,51.56,1,6.69,6.6,0.633112582781457,0.462223211305219,0.595555555555556,0.66,"Internal"
"Hacker_Human","Forward","Linear","Email",5.23,8.65,94.01,1,6.99,7.76,0.786754966887417,0.934572159786358,0.85,0.87,"External"
"Phishing","Forward","Linear","USB",1.35,5.22,52.49,1,1.16,3.66,0.243708609271523,0.472571492155335,0.468888888888889,0.49,"External"
"Insider_Attack","Backward","Hybrid","Email",2.55,4.82,45.3,1,4.68,4.01,0.290066225165563,0.392567041281852,0.424444444444444,0.48,"Internal"
"Hacker_AI","Downward","Circular","Network",9.9,9.99,31.96,0,4.74,6.72,0.649006622516556,0.244130410593079,0.998888888888889,0.71,"External"
"Data_Leak","Backward","Hybrid","Internal_System",5.5,9.06,36.99,0,6.91,5.63,0.504635761589404,0.300100144653388,0.895555555555556,0.64,"Internal"
"Phishing","Backward","Linear","USB",7.88,4.19,22.11,0,8.79,4.97,0.417218543046358,0.134527651051519,0.354444444444445,0.46,"External"
"Malware","Forward","Random","Internal_System",1.57,8.15,50.37,0,3.62,4.48,0.352317880794702,0.448981862690553,0.794444444444445,0.59,"External"
"Insider_Attack","Forward","Linear","Cloud",5.94,1.52,48.22,0,7.21,4.74,0.386754966887417,0.425058417714476,0.0577777777777778,0.45,"Internal"
"Data_Leak","Downward","Random","Network",5.85,2.11,39.11,1,3.2,4.06,0.296688741721854,0.323689774118171,0.123333333333333,0.41,"Internal"
"Insider_Attack","Downward","Linear","Email",6.28,9.08,67.72,0,8.25,7.23,0.716556291390729,0.642038500055636,0.897777777777778,0.79,"Internal"
"Misconfiguration","Cross","Hybrid","Internal_System",1.57,2.14,64.81,1,1.76,3.67,0.245033112582781,0.609658395460109,0.126666666666667,0.45,"Internal"
"Phishing","Downward","Random","Email",9.25,5.08,13.34,1,5.09,4.83,0.398675496688742,0.0369422499165461,0.453333333333333,0.46,"External"
"Malware","Backward","Random","Network",1.83,3.11,55.44,0,5.22,3.91,0.27682119205298,0.505396684099254,0.234444444444444,0.46,"External"
"Virus","Forward","Random","Internal_System",1.19,4.47,71.15,1,9.09,5.01,0.422516556291391,0.68020474018026,0.385555555555556,0.58,"External"
"Malware","Forward","Circular","Cloud",7.54,1.24,39.47,1,5.12,4.6,0.368211920529801,0.3276955602537,0.0266666666666667,0.42,"External"
"Malware","Downward","Linear","Email",6.73,4.81,97.64,1,1.57,7.04,0.691390728476821,0.974963836652943,0.423333333333333,0.76,"External"
"Malware","Downward","Circular","USB",5.15,4.49,60.92,0,7.03,5.58,0.498013245033113,0.566373650828975,0.387777777777778,0.59,"External"
"Hacker_Human","Downward","Random","Network",5.35,4.66,37.01,1,4.55,4.47,0.350993377483444,0.300322688327584,0.406666666666667,0.48,"External"
"Data_Leak","Forward","Linear","Internal_System",5.01,7.7,14.44,1,4.49,4.07,0.298013245033113,0.0491821519973295,0.744444444444444,0.48,"Internal"
"Hacker_AI","Backward","Hybrid","USB",7.47,3.22,66.66,1,5.76,6.13,0.570860927152318,0.630243685323245,0.246666666666667,0.6,"External"
"Malware","Backward","Hybrid","Internal_System",8.4,1.06,16.31,0,7.62,4.15,0.308609271523179,0.0699899855346612,0.00666666666666667,0.34,"External"
"Misconfiguration","Upward","Random","USB",3.14,9.33,53.98,1,7.42,5.71,0.51523178807947,0.489150995882942,0.925555555555556,0.69,"Internal"
"Weak_Password","Cross","Hybrid","Email",1.98,2.65,50.06,1,1.49,3.28,0.193377483443709,0.445532435740514,0.183333333333333,0.4,"Internal"
"Data_Leak","Cross","Linear","Email",5.43,4.92,84.67,1,2.52,6.25,0.586754966887417,0.830644263936798,0.435555555555556,0.69,"Internal"
