"Record_ID","Threat","Vulnerability","Attack_Type","Severity","CVSS_Score","Detection_Time","Response_Time","Security_Control_Effectiveness","Attack_Success","Risk_Score","CVSS_Norm","Detection_Norm","Response_Norm","Risk_Norm","Attack_Probability","Detection_Probability","Recovery_Time"
11,"Insider Threat","Outdated Software","Web Attack","Low",3.54,7.83,9.78,62.96,"Yes",33.45,0.270880361173815,0.106606081789584,0.0873559638741825,0.346207043302479,0.41,0.68,26.14
12,"Phishing","Outdated Software","Web Attack","Low",3.3,5.83,8.85,85.76,"No",12.58,0.243792325056433,0.0716532680880811,0.0728744939271255,0.124162144909033,0.27,0.81,16.06
13,"DDoS","SQL Injection","Network Attack","Medium",4.47,21.93,25.63,64.64,"Yes",45.39,0.375846501128668,0.35302341838518,0.334163811896605,0.473241834237685,0.48,0.69,32.12
14,"DDoS","Weak Password","Social Engineering","Medium",5.19,22.66,28.12,51.39,"No",37.72,0.457110609480813,0.365781195386229,0.372936779819371,0.391637408234919,0.43,0.61,28.45
15,"Malware","Weak Encryption","Network Attack","Critical",9.22,33.42,41.62,70.15,"No",67.38,0.91196388261851,0.553827333100315,0.583151666147617,0.707202893924886,0.62,0.72,36.84
16,"Insider Threat","Insecure API","Network Attack","Medium",6.11,19.62,29,79.31,"No",38.73,0.560948081264108,0.312652918559944,0.38663967611336,0.402383232258751,0.44,0.78,27.52
17,"Malware","Weak Password","Social Engineering","Medium",4.77,6.98,8.95,93.28,"No",22.2,0.409706546275395,0.0917511359664453,0.0744316412332607,0.226513458878604,0.34,0.86,18.32
18,"Malware","Weak Password","Social Engineering","High",8.77,56.15,41.57,46.46,"Yes",91.89,0.86117381489842,0.951066060817896,0.58237309249455,0.967975316523034,0.78,0.58,55.96
19,"Phishing","Missing Security Patch","Social Engineering","High",7.23,17.03,22.61,41.04,"Yes",66.27,0.687358916478555,0.267389024816498,0.287137963251324,0.695393126928397,0.62,0.55,37.68
20,"Insider Threat","Missing Security Patch","Network Attack","Medium",5.56,17.16,33.21,58.75,"Yes",51.97,0.498871331828442,0.269660957707095,0.452195577701651,0.543249281838493,0.53,0.65,38.16
21,"Insider Threat","Cross Site Scripting","Web Attack","Low",3.74,8.97,14.52,86.76,"Yes",31.77,0.293453724604966,0.126529185599441,0.161164746184989,0.328332801361847,0.4,0.82,25.01
22,"DDoS","Insecure API","Network Attack","Critical",10,40.43,33.58,90.4,"No",72.61,1,0.676336945124082,0.457957022734351,0.762847111394829,0.66,0.84,45.12
23,"DDoS","Insecure API","Social Engineering","High",7.98,23.87,22.21,52.29,"Yes",72.54,0.772009029345373,0.386927647675638,0.280909374026783,0.76210235131397,0.66,0.61,47.95
24,"Insider Threat","Open Port","Social Engineering","High",7.36,16.03,26.97,41.66,"No",51.69,0.702031602708804,0.249912617965746,0.355029585798817,0.540270241515055,0.52,0.55,35.49
25,"DDoS","Privilege Escalation","Social Engineering","High",7.26,15.95,24.33,85.48,"Yes",59.4,0.690744920993228,0.248514505417686,0.313920896916848,0.622300244706884,0.57,0.81,37.9
26,"DDoS","SQL Injection","Network Attack","Critical",8.95,36.58,38.81,61.65,"Yes",83,0.881489841986456,0.609052778748689,0.53939582684522,0.873390786253857,0.72,0.67,48.05
27,"Phishing","Outdated Software","Network Attack","Critical",9.21,38.82,42.69,58,"Yes",86.31,0.910835214446953,0.648199930094373,0.599813142323264,0.908607298648792,0.75,0.65,52.85
28,"DDoS","Outdated Software","Web Attack","Low",2.52,9.27,16.28,46.19,"No",14.43,0.155756207674944,0.131772107654666,0.188570538772968,0.143845089903181,0.29,0.58,13.39
29,"Malware","Missing Security Patch","Network Attack","High",7.44,21.49,22.58,84.31,"No",48.05,0.711060948081264,0.345333799370849,0.286670819059483,0.501542717310352,0.5,0.81,35.96
30,"Malware","Missing Security Patch","Web Attack","Low",3.07,6.82,10.76,60.16,"Yes",30.23,0.217832957110609,0.088954910870325,0.102616007474307,0.311948079582934,0.39,0.66,27.86
31,"Insider Threat","Open Port","Network Attack","Critical",9.2,36.79,30.15,62.67,"No",69.69,0.909706546275395,0.612722824187347,0.404546870133915,0.731779976593255,0.64,0.68,44.12
32,"Insider Threat","Weak Encryption","Web Attack","Low",2.01,7.95,12.45,51.61,"Yes",24.52,0.0981941309255079,0.108703250611674,0.128931796947991,0.251196935844239,0.35,0.61,18.83
33,"DDoS","Cross Site Scripting","Network Attack","Low",1.65,6.37,12.08,54.89,"Yes",20.89,0.0575620767494357,0.0810905277874869,0.123170351915291,0.212575805936802,0.33,0.63,16.33
34,"DDoS","Cross Site Scripting","Network Attack","Critical",9.72,20.91,34.96,79.96,"Yes",79.43,0.968397291196388,0.335197483397413,0.479445655559016,0.835408022130014,0.7,0.78,49.64
35,"Malware","Outdated Software","Web Attack","Medium",5.23,18.7,26.65,46.03,"Yes",52.17,0.461625282167043,0.296574624257253,0.350046714419184,0.545377167783807,0.53,0.58,34.88
36,"Phishing","Insecure API","Network Attack","High",8.48,23.71,39.96,69.05,"Yes",73.46,0.828442437923251,0.384131422579518,0.557303020865774,0.771890626662411,0.66,0.71,46.62
37,"DDoS","Open Port","Network Attack","Medium",5.7,17.19,33.11,48.76,"Yes",54.43,0.514672686230248,0.270185249912618,0.450638430395515,0.569422278965847,0.54,0.59,37.63
38,"Malware","Missing Security Patch","Web Attack","Medium",5.59,18.31,21.47,48.29,"Yes",54.21,0.502257336343115,0.28975882558546,0.269386483961383,0.567081604426003,0.54,0.59,32.05
39,"Phishing","Missing Security Patch","Web Attack","Medium",5.08,20.54,19.75,59.71,"Yes",49.85,0.44469525959368,0.328731212862635,0.242603550295858,0.520693690818172,0.51,0.66,33.49
40,"Malware","SQL Injection","Web Attack","High",8.66,18.37,25.3,84.99,"No",55.23,0.848758465011287,0.290807409996505,0.329025225786359,0.577933822747101,0.55,0.81,34.55
41,"Malware","System Misconfiguration","Web Attack","Low",3.45,11.69,13.99,66.61,"Yes",33.81,0.260722347629797,0.174065012233485,0.152911865462473,0.350037238004043,0.41,0.7,26.57
42,"Phishing","Missing Security Patch","Network Attack","High",8.52,26.84,36.69,58.62,"No",61.61,0.832957110609481,0.43883257602237,0.506384303955154,0.645813384402596,0.59,0.65,43.14
43,"Phishing","Insecure API","Network Attack","High",8.15,43.5,43.49,78.31,"No",62.71,0.791196388261851,0.72998951415589,0.612270320772345,0.657516757101819,0.59,0.77,43.04
44,"Phishing","Privilege Escalation","Network Attack","Medium",5.52,21.17,31.73,47.5,"No",39.97,0.494356659142212,0.339741349178609,0.42914979757085,0.415576125119694,0.45,0.58,26.02
45,"Malware","SQL Injection","Social Engineering","Medium",5.57,16.22,26.73,65.83,"Yes",50.64,0.5,0.253233135267389,0.351292432264092,0.52909884030216,0.52,0.69,35.4
46,"Malware","System Misconfiguration","Network Attack","High",8.7,37.84,58.71,70.76,"No",65.4,0.853273137697517,0.631073051380636,0.849268140766116,0.686136823066284,0.61,0.72,43.65
47,"Malware","SQL Injection","Network Attack","High",8.66,33.04,48.88,89.01,"Yes",75.47,0.848758465011287,0.547186298497029,0.69620056057303,0.79327588041281,0.68,0.83,43.1
48,"Phishing","Weak Encryption","Network Attack","Low",3.46,9.26,11.33,45.77,"Yes",36.06,0.261851015801354,0.131597343586159,0.111491747119277,0.373975954888818,0.42,0.57,28.11
49,"Malware","Weak Password","Web Attack","Critical",9.01,24.05,45.11,45.91,"No",65.81,0.888261851015801,0.390073400908773,0.637496107131735,0.690498989254176,0.61,0.58,42
50,"Insider Threat","Missing Security Patch","Social Engineering","Low",3.09,5.62,10.76,61.77,"Yes",29.59,0.220090293453725,0.0679832226494233,0.102616007474307,0.305138844557932,0.38,0.67,19.99
51,"Malware","Open Port","Network Attack","Medium",6.53,18.37,28.47,79.08,"No",41.23,0.608352144469526,0.290807409996505,0.378386795390844,0.428981806575168,0.46,0.77,30.65
52,"Phishing","Open Port","Web Attack","High",7.05,21.31,23.38,63.14,"Yes",63.38,0.667042889390519,0.342188046137714,0.299127997508564,0.664645175018619,0.6,0.68,38.71
53,"DDoS","Cross Site Scripting","Web Attack","Low",2.44,7.44,15.51,85.12,"No",7.27,0.146726862302483,0.099790283117791,0.176580504515727,0.0676667730609639,0.24,0.81,9.58
54,"Malware","Outdated Software","Network Attack","High",8.61,23.54,48.93,44.14,"No",63.1,0.843115124153499,0.38116043341489,0.696979134226098,0.66166613469518,0.6,0.56,42.85
55,"DDoS","SQL Injection","Social Engineering","Medium",6.45,16.4,25.87,78.23,"Yes",55,0.599322799097066,0.256378888500524,0.33790096543133,0.57548675390999,0.55,0.77,31.69
56,"Malware","Insecure API","Social Engineering","Critical",9.66,44.09,41.35,75.48,"No",73.93,0.961625282167043,0.740300594197833,0.578947368421053,0.776891158633897,0.67,0.75,41.4
57,"Malware","Outdated Software","Network Attack","Low",3.51,5.09,9.82,64.68,"No",16.89,0.267494356659142,0.058720727018525,0.0879788227966366,0.170018087030535,0.3,0.69,13.51
58,"DDoS","Insecure API","Web Attack","High",8.01,23.99,23.85,68.19,"No",55.42,0.775395033860045,0.389024816497728,0.3064465898474,0.579955314395148,0.55,0.71,35.71
59,"Insider Threat","Outdated Software","Network Attack","High",8.22,25.43,62.01,56.87,"Yes",74.15,0.799097065462754,0.41419084236281,0.900654001868577,0.779231833173742,0.67,0.64,48.15
60,"Phishing","Missing Security Patch","Social Engineering","High",8.78,30.84,53.62,68.1,"Yes",78.58,0.862302483069977,0.508738203425376,0.770009342883837,0.826364506862432,0.7,0.71,49.01
61,"DDoS","Missing Security Patch","Network Attack","High",7.93,40.09,56.53,44.36,"No",64.89,0.766365688487585,0.670394966794827,0.81532232949237,0.680710713905735,0.61,0.57,39.31
62,"Malware","Missing Security Patch","Social Engineering","Medium",6.01,23.81,28.21,90.57,"Yes",53.01,0.549661399548533,0.385879063264593,0.374338212394893,0.554314288754123,0.53,0.84,34.84
63,"Phishing","SQL Injection","Network Attack","Medium",5.59,20.3,21.48,43.37,"No",40.74,0.502257336343115,0.324536875218455,0.269542198691996,0.42376848600915,0.45,0.56,26.62
64,"Malware","Weak Encryption","Network Attack","Medium",5.72,21.1,22.62,86.88,"No",35.44,0.516930022573364,0.338518000699056,0.287293677981937,0.367379508458347,0.42,0.82,30.18
65,"Insider Threat","Privilege Escalation","Network Attack","Medium",6.18,22.08,18.97,81.67,"No",39.83,0.568848758465011,0.355644879412793,0.230457801308004,0.414086604957974,0.45,0.79,28.23
66,"Phishing","Weak Password","Web Attack","High",7.64,26.17,28.07,42.36,"No",57.56,0.733634311512415,0.427123383432366,0.372158206166303,0.602723694010001,0.56,0.55,36.06
67,"Insider Threat","Outdated Software","Web Attack","Medium",6.58,16.01,27.45,60.64,"Yes",58.37,0.613995485327314,0.249563089828731,0.362503892868265,0.61134163208852,0.57,0.66,40.1
68,"Insider Threat","Weak Encryption","Social Engineering","Medium",5.75,19.15,21.57,41.78,"No",41.63,0.520316027088036,0.304439007340091,0.270943631267518,0.433237578465794,0.46,0.55,29.54
69,"DDoS","Weak Password","Network Attack","Medium",4.13,9.38,15.73,43.57,"No",26.13,0.337471783295711,0.133694512408249,0.180006228589225,0.268326417704011,0.36,0.56,23.77
70,"Phishing","Privilege Escalation","Social Engineering","Critical",10,30.47,52.73,42.28,"No",75.85,1,0.502271932890598,0.756150731859234,0.797318863708905,0.68,0.55,46.9
71,"DDoS","SQL Injection","Web Attack","Medium",4.92,16.17,29.73,78.33,"Yes",44.13,0.426636568848759,0.252359314924851,0.398006851448147,0.459836152782211,0.48,0.77,35.02
72,"DDoS","Privilege Escalation","Social Engineering","Medium",5.54,19.38,20.5,64.76,"No",36.79,0.496613995485327,0.308458580915764,0.254282155091872,0.381742738589212,0.43,0.69,25.64
73,"DDoS","Missing Security Patch","Web Attack","Medium",5.87,17.84,21.94,83.18,"No",35.72,0.533860045146727,0.281544914365606,0.276705076300218,0.370358548781785,0.42,0.8,27.52
74,"Malware","Cross Site Scripting","Web Attack","Medium",4.45,18.97,27.37,70.47,"No",28.16,0.373589164785553,0.301293254106956,0.361258175023357,0.289924460048941,0.37,0.72,21.17
75,"Phishing","Weak Encryption","Network Attack","High",8.8,31.58,52.2,40.87,"Yes",83.07,0.864559819413093,0.521670744494932,0.747897851136718,0.874135546334716,0.72,0.55,45.01
76,"Malware","Cross Site Scripting","Web Attack","High",7.17,8.51,30.62,50.15,"No",46.07,0.68058690744921,0.118490038448095,0.41186546247275,0.48047664645175,0.49,0.6,30.42
77,"Phishing","Missing Security Patch","Network Attack","High",7.45,32.59,36.13,93.18,"No",51.24,0.712189616252822,0.539321915414191,0.497664279040797,0.5354824981381,0.52,0.86,34.59
78,"DDoS","System Misconfiguration","Social Engineering","Low",3,10.63,13.6,46.92,"Yes",33.19,0.209932279909707,0.155540020971688,0.146838990968546,0.343440791573572,0.41,0.58,24.35
79,"Phishing","SQL Injection","Social Engineering","Medium",6.64,9.69,25.98,89.04,"Yes",52.03,0.620767494356659,0.139112198531982,0.339613827468078,0.543887647622087,0.53,0.83,30.97
80,"Malware","Outdated Software","Social Engineering","Medium",6.77,21.44,20.13,65.08,"No",46.18,0.635440180586907,0.344459979028312,0.248520710059172,0.481646983721673,0.49,0.69,27.9
81,"Malware","SQL Injection","Social Engineering","Critical",9.36,25.23,58.91,45.65,"No",68.74,0.927765237020316,0.41069556099266,0.852382435378387,0.721672518353016,0.63,0.57,43.35
82,"DDoS","Outdated Software","Web Attack","Low",2.86,9.53,12.95,69.23,"Yes",28.46,0.194130925507901,0.136315973435862,0.136717533478667,0.293116288966911,0.38,0.72,23.55
83,"Phishing","Outdated Software","Social Engineering","Low",2.65,10.29,12.1,51.58,"No",14.92,0.170428893905192,0.149598042642433,0.123481781376518,0.149058410469199,0.29,0.61,15.01
84,"DDoS","Outdated Software","Web Attack","High",6.94,18.87,29.34,40.23,"No",50.07,0.654627539503386,0.29954561342188,0.39193397695422,0.523034365358017,0.51,0.54,36.98
85,"Malware","Outdated Software","Web Attack","High",8.72,42.81,42.18,72.04,"No",67.32,0.855530474040632,0.717930793428871,0.591871691061974,0.706564528141292,0.62,0.73,46.1
86,"Phishing","Weak Encryption","Network Attack","Medium",3.92,8.76,14.53,85.63,"Yes",33.11,0.313769751693002,0.122859140160783,0.161320460915603,0.342589637195446,0.41,0.81,26.87
87,"Insider Threat","Weak Encryption","Network Attack","Low",3,8.36,10.26,75.32,"No",13.07,0.209932279909707,0.115868577420482,0.0948302709436313,0.129375465475051,0.28,0.75,13.71
88,"Insider Threat","Weak Password","Social Engineering","High",7.02,15.45,33.66,93.14,"Yes",56.33,0.663656884875847,0.23977630199231,0.459202740579259,0.589637195446324,0.55,0.86,41.09
89,"Insider Threat","Open Port","Network Attack","Medium",4.13,7.97,15.62,46.43,"Yes",40.15,0.337471783295711,0.109052778748689,0.178293366552476,0.417491222470476,0.45,0.58,27.1
90,"Malware","Privilege Escalation","Network Attack","High",8.64,38.94,49.23,74.97,"No",64.82,0.846501128668172,0.650297098916463,0.701650576144503,0.679965953824875,0.61,0.75,43.83
91,"Malware","Weak Password","Web Attack","Medium",6.58,15.61,18.75,54.41,"No",44.15,0.613995485327314,0.242572527088431,0.227032077234506,0.460048941376742,0.48,0.63,34.24
92,"DDoS","System Misconfiguration","Web Attack","Low",2.15,7.09,14.05,40.21,"No",11.89,0.113995485327314,0.0936735407200279,0.153846153846154,0.116820938397702,0.27,0.54,18.81
93,"Phishing","Privilege Escalation","Social Engineering","High",8.53,26.58,62.25,94.94,"Yes",71.12,0.834085778781038,0.434288710241174,0.904391155403301,0.746994361102245,0.65,0.87,40.14
94,"DDoS","Insecure API","Network Attack","Medium",6.83,25.79,31.07,63.46,"Yes",63.62,0.642212189616253,0.420482348829081,0.418872625350358,0.667198638152995,0.6,0.68,36.49
95,"Phishing","Insecure API","Web Attack","Medium",5.65,16.35,17.8,85.42,"No",33.28,0.509029345372461,0.255505068157987,0.212239177826222,0.344398340248963,0.41,0.81,25.66
96,"Malware","Weak Encryption","Social Engineering","Critical",9.22,46.37,37.64,54.85,"Yes",89.85,0.91196388261851,0.780146801817546,0.521177203363438,0.946270879880838,0.77,0.63,57.52
97,"DDoS","Weak Encryption","Social Engineering","Medium",5.12,21.53,17.42,90.48,"No",30.87,0.44920993227991,0.346032855644879,0.206322018062909,0.318757314607937,0.39,0.84,23.06
98,"Malware","Outdated Software","Social Engineering","Medium",5.04,9.14,6.86,48.22,"No",31.69,0.440180586907449,0.129500174764068,0.0418872625350358,0.327481646983722,0.4,0.59,23.46
99,"Phishing","Outdated Software","Social Engineering","Medium",6.52,18.42,12.66,51.76,"Yes",60.24,0.607223476297968,0.291681230339042,0.132201806290875,0.6312373656772,0.58,0.61,40.3
100,"Phishing","Weak Password","Network Attack","Medium",6.16,15.65,20.56,89.9,"Yes",50.91,0.566591422121896,0.243271583362461,0.255216443475553,0.531971486328333,0.52,0.84,34.06
101,"DDoS","Insecure API","Network Attack","Medium",6.41,21.4,33.64,60.85,"Yes",59.34,0.594808126410835,0.343760922754282,0.458891311118032,0.62166187892329,0.57,0.67,40.79
102,"Phishing","Privilege Escalation","Network Attack","Low",3.83,20.97,20.24,43.53,"No",28.68,0.303611738148984,0.336246067808459,0.25023357209592,0.295456963506756,0.38,0.56,25.78
103,"Phishing","Weak Encryption","Web Attack","Critical",9.51,37.42,56.56,44.86,"Yes",89.81,0.944695259593679,0.62373296050332,0.815789473684211,0.945845302691776,0.77,0.57,50.19
104,"Insider Threat","SQL Injection","Social Engineering","Low",2.31,8.99,12.89,55.07,"No",11.53,0.132054176072235,0.126878713736456,0.135783245094986,0.112990743696138,0.27,0.63,14.53
105,"Phishing","Weak Encryption","Social Engineering","High",7.14,17.08,30.72,75.28,"Yes",60.54,0.677200902934537,0.268262845159035,0.413422609778885,0.63442919459517,0.58,0.75,36.84
106,"Insider Threat","System Misconfiguration","Web Attack","Medium",5.8,16.28,25.13,80.53,"Yes",50.03,0.525959367945824,0.254281719678434,0.32637807536593,0.522608788168954,0.51,0.78,37.52
107,"Insider Threat","Weak Password","Social Engineering","Medium",5.24,16.17,30.55,66.4,"Yes",48.17,0.462753950338601,0.252359314924851,0.410775459358455,0.50281944887754,0.5,0.7,28.97
108,"DDoS","Cross Site Scripting","Web Attack","Critical",9.86,42.8,41.6,41.43,"Yes",94.9,0.984198645598194,0.717756029360363,0.582840236686391,1,0.8,0.55,52.67
109,"Phishing","SQL Injection","Web Attack","Critical",8.92,35.69,34.93,94.43,"No",62.57,0.878103837471783,0.59349877665152,0.478978511367175,0.6560272369401,0.59,0.87,36.1
110,"Malware","Open Port","Social Engineering","Medium",6.43,14.7,19.7,62.41,"No",41.54,0.59706546275395,0.226668996854247,0.24182497664279,0.432280029790403,0.46,0.67,30.09
111,"Insider Threat","Outdated Software","Web Attack","Critical",9.21,30.04,43.85,60.63,"Yes",82.38,0.910835214446953,0.494757077944774,0.617876051074432,0.866794339823385,0.72,0.66,51.29
112,"Phishing","Missing Security Patch","Social Engineering","Medium",5.32,18.22,27.46,62.18,"Yes",50.23,0.471783295711061,0.288185948968892,0.362659607598879,0.524736674114267,0.51,0.67,30.56
113,"Malware","Weak Encryption","Network Attack","Critical",9.05,27.47,55.06,67.73,"Yes",79.19,0.892776523702032,0.449842712338343,0.792432264092183,0.832854558995638,0.7,0.71,48.66
114,"Insider Threat","Weak Encryption","Network Attack","High",7.54,19.49,25.79,49.71,"Yes",68.15,0.72234762979684,0.310380985669346,0.336655247586422,0.715395254814342,0.63,0.6,43.44
115,"DDoS","Cross Site Scripting","Network Attack","High",8.75,36.8,48.01,49.53,"Yes",83.57,0.858916478555305,0.612897588255854,0.682653379009654,0.879455261198,0.73,0.6,46.91
116,"Malware","Weak Encryption","Network Attack","Medium",6.32,20.62,23.32,61.66,"No",43.26,0.584650112866817,0.330129325410696,0.298193709124883,0.450579848920098,0.47,0.67,25.61
117,"Phishing","Insecure API","Social Engineering","Medium",4.4,7.92,6.73,72.51,"Yes",38.12,0.367945823927765,0.108178958406152,0.0398629710370601,0.395893180125545,0.44,0.74,24.51
118,"Insider Threat","System Misconfiguration","Social Engineering","Low",3.42,8.89,15.69,80.85,"Yes",30.37,0.257336343115124,0.125131073051381,0.17938336966677,0.313437599744654,0.39,0.79,20.42
119,"DDoS","Missing Security Patch","Network Attack","Medium",6.25,10.24,25.02,51.91,"No",40.09,0.576749435665914,0.148724222299895,0.324665213329181,0.416852856686882,0.45,0.61,31.11
120,"Phishing","Weak Password","Network Attack","Medium",5.12,14.1,19.87,61.84,"Yes",47.21,0.44920993227991,0.216183152743796,0.24447212706322,0.492605596340036,0.5,0.67,32.18
121,"DDoS","Privilege Escalation","Network Attack","Low",2.86,10.27,9.51,48.22,"No",16.9,0.194130925507901,0.149248514505418,0.0831516661476176,0.170124481327801,0.3,0.59,20.12
122,"Phishing","SQL Injection","Web Attack","Medium",5.8,18.74,29.45,64.22,"Yes",53.5,0.525959367945824,0.297273680531283,0.393646838990969,0.55952760932014,0.54,0.69,34.04
123,"Phishing","Open Port","Web Attack","High",8.23,29.22,40.85,65.22,"Yes",74.54,0.800225733634312,0.480426424327158,0.571161631890377,0.783381210767103,0.67,0.69,46.17
124,"Malware","Open Port","Network Attack","Low",2.56,9.84,5.45,72.22,"Yes",26.04,0.160270880361174,0.141733659559595,0.0199314855185301,0.26736886902862,0.36,0.73,22.99
125,"Phishing","Privilege Escalation","Network Attack","High",8.33,24.91,29.35,50.08,"No",60.77,0.811512415349887,0.405103110800419,0.392089691684833,0.63687626343228,0.58,0.6,40.26
126,"Insider Threat","Cross Site Scripting","Web Attack","Medium",6.23,24.15,33.17,87.03,"Yes",55.19,0.574492099322799,0.391821041593848,0.451572718779197,0.577508245558038,0.55,0.82,32.31
127,"Malware","Insecure API","Network Attack","Medium",5.69,15.21,22.31,50.68,"Yes",53.34,0.513544018058691,0.23558196434813,0.282466521332918,0.55782530056389,0.53,0.6,36.96
128,"Malware","SQL Injection","Web Attack","Medium",4.07,2.88,12.74,70.8,"No",19.01,0.330699774266366,0.0200978678783642,0.133447524135783,0.192573678050856,0.32,0.72,20.64
129,"Malware","SQL Injection","Network Attack","Low",3.18,6.51,5.98,78.22,"Yes",28.1,0.230248306997743,0.0835372247465921,0.0281843662410464,0.289286094265347,0.37,0.77,19.77
130,"DDoS","System Misconfiguration","Social Engineering","Medium",6.01,11.4,24.92,45.84,"Yes",54.79,0.549661399548533,0.168996854246767,0.323108066023046,0.573252473667411,0.54,0.58,32.31
131,"DDoS","Insecure API","Web Attack","Low",2.78,8.09,13.38,87.4,"Yes",24.62,0.18510158013544,0.111149947570779,0.143413266895048,0.252260878816895,0.35,0.82,21.67
132,"Insider Threat","Cross Site Scripting","Web Attack","Medium",5.75,13.91,21.94,94.07,"Yes",46.68,0.520316027088036,0.212862635442153,0.276705076300218,0.486966698584956,0.49,0.86,30.52
133,"DDoS","Outdated Software","Web Attack","Low",2.97,5.01,9.66,84.42,"Yes",25.1,0.206546275395034,0.0573226144704649,0.0854873871068203,0.257367805085647,0.35,0.81,23.77
134,"DDoS","Privilege Escalation","Network Attack","High",8.56,33.45,47.64,75.26,"No",62.04,0.837471783295711,0.554351625305837,0.676891933976954,0.65038833918502,0.59,0.75,43.65
135,"Phishing","SQL Injection","Web Attack","High",7.36,19.33,32.38,67.39,"Yes",64.16,0.702031602708804,0.307584760573226,0.439271255060729,0.672943930205341,0.6,0.7,39.91
136,"DDoS","System Misconfiguration","Network Attack","High",8.25,44.45,49.75,83.29,"No",63.01,0.802483069977427,0.746592100664104,0.709747742136406,0.660708586019789,0.6,0.8,43.79
137,"Insider Threat","Open Port","Web Attack","High",7.87,37.82,35.1,69.49,"No",59.76,0.759593679458239,0.630723523243621,0.481625661787605,0.626130439408448,0.58,0.72,39.79
138,"DDoS","Privilege Escalation","Web Attack","Critical",9.36,31.22,43.11,71.54,"Yes",82.3,0.927765237020316,0.515379238028661,0.606353161009031,0.86594318544526,0.72,0.73,45.23
139,"Insider Threat","Cross Site Scripting","Web Attack","Medium",5.59,14.59,33.51,52.34,"Yes",52.1,0.502257336343115,0.224746592100664,0.456867019620056,0.544632407702947,0.53,0.61,35.93
140,"Phishing","SQL Injection","Network Attack","Critical",9.39,39.73,45.59,78.15,"Yes",84.93,0.931151241534989,0.664103460328556,0.644970414201184,0.89392488562613,0.74,0.77,48.17
141,"Phishing","Outdated Software","Web Attack","Medium",4.09,9.32,16.81,73.88,"No",21.27,0.332957110609481,0.132645927997204,0.196823419495484,0.216618789232897,0.33,0.74,23.24
142,"Phishing","Cross Site Scripting","Web Attack","High",6.97,17.18,23.93,51.22,"No",47.94,0.658013544018059,0.27001048584411,0.307692307692308,0.50037238004043,0.5,0.61,36.7
143,"Malware","Open Port","Network Attack","High",8.37,32.45,43.11,86.26,"Yes",73.65,0.816027088036117,0.536875218455086,0.606353161009031,0.773912118310459,0.66,0.82,45.62
144,"Malware","Weak Encryption","Network Attack","Critical",9.56,18.7,39.39,46.13,"No",67.45,0.950338600451467,0.296574624257253,0.548427281220804,0.707947654005745,0.62,0.58,43.35
145,"Insider Threat","Outdated Software","Web Attack","High",8.61,26.02,57.95,49.11,"Yes",78.29,0.843115124153499,0.424501922404754,0.837433821239489,0.823279072241728,0.69,0.59,51.23
146,"Malware","Weak Encryption","Web Attack","Medium",5.99,13.53,20.54,89.02,"Yes",48.99,0.547404063205418,0.206221600838867,0.254905014014326,0.511543781253325,0.51,0.83,37.59
147,"Malware","System Misconfiguration","Web Attack","High",6.99,25.48,24.38,86.26,"Yes",61.15,0.660270880361174,0.415064662705348,0.314699470569916,0.640919246728375,0.58,0.82,37.39
