"Record_ID","Threat","Vulnerability","Attack_Type","Severity","CVSS_Score","Detection_Time","Response_Time","Security_Control_Effectiveness","Attack_Success","Risk_Score"
146,"Malware","Weak Encryption","Web Attack","Medium",5.99,13.53,20.54,89.02,"Yes",48.99
147,"Malware","System Misconfiguration","Web Attack","High",6.99,25.48,24.38,86.26,"Yes",61.15
148,"Malware","Weak Encryption","Social Engineering","High",8.77,28.36,55.53,56.82,"Yes",79.25
149,"Malware","Outdated Software","Social Engineering","Critical",9.21,18.7,39.84,54.19,"Yes",78.79
150,"DDoS","Weak Password","Network Attack","Medium",5.99,13.57,23.63,68.96,"Yes",52.01
151,"Insider Threat","System Misconfiguration","Network Attack","Medium",5.18,19.44,26.68,76.66,"Yes",47.54
152,"Phishing","Insecure API","Network Attack","Medium",4.15,8.83,16.78,85.82,"Yes",34.7
153,"Phishing","System Misconfiguration","Network Attack","Medium",5.85,9.39,25.13,44.54,"Yes",53.04
154,"Malware","Insecure API","Web Attack","Medium",6.78,16.4,32,51.25,"Yes",61.36
155,"Malware","Cross Site Scripting","Network Attack","Critical",9.47,38.76,45.56,71.24,"No",71.08
156,"Phishing","Privilege Escalation","Social Engineering","Medium",5.7,17.29,27.35,80.38,"No",34.79
157,"DDoS","Privilege Escalation","Social Engineering","Critical",9.38,32.93,39.17,89.78,"No",65.35
158,"Malware","Insecure API","Web Attack","High",8.43,20.07,20.48,56,"No",58.63
159,"Phishing","Cross Site Scripting","Social Engineering","High",7.04,18.25,29.13,65.78,"No",46.7
160,"Malware","Open Port","Network Attack","Medium",6.25,17.77,25.45,55.59,"No",42.49
161,"Phishing","Privilege Escalation","Social Engineering","Critical",8.99,30.73,39.76,43.12,"No",68.75
162,"Phishing","SQL Injection","Social Engineering","Low",3.35,8.34,11.05,54.51,"No",18.63
163,"DDoS","SQL Injection","Network Attack","Medium",6.49,13.59,17.85,92.17,"Yes",52.01
164,"Phishing","Missing Security Patch","Web Attack","High",7.9,19.59,23.01,89.48,"Yes",64.73
165,"Phishing","Outdated Software","Web Attack","Medium",5.95,21.14,23.95,51.31,"No",42.4
166,"Phishing","Weak Password","Web Attack","High",8.83,33.15,40.99,89.83,"No",61.63
167,"DDoS","SQL Injection","Social Engineering","Medium",3.98,8.28,15.91,48.99,"Yes",38.84
168,"Malware","Outdated Software","Web Attack","High",7.91,34.05,43.33,90.4,"Yes",70.45
169,"Phishing","Missing Security Patch","Web Attack","Medium",5.23,21.99,24.46,54.8,"No",37.2
170,"Malware","Privilege Escalation","Web Attack","High",7.73,30.86,36.16,79.62,"No",54.51
171,"DDoS","Open Port","Network Attack","Critical",9.43,52.8,39.61,48.79,"Yes",94.79
172,"Malware","Weak Password","Social Engineering","Medium",6.12,19.12,38.54,40.76,"Yes",59.35
173,"Insider Threat","Insecure API","Network Attack","High",7.07,31.4,35.38,71.8,"Yes",66.28
174,"DDoS","Privilege Escalation","Web Attack","Low",3.32,7.45,9.81,79.55,"No",14.27
175,"DDoS","Privilege Escalation","Network Attack","High",7.85,19.03,36.97,74.68,"No",51.36
176,"DDoS","Outdated Software","Network Attack","High",6.94,12.94,21.23,93.54,"No",39.73
177,"Phishing","Missing Security Patch","Social Engineering","Low",3.72,6.84,13.06,59.75,"No",19.8
178,"Phishing","Weak Encryption","Web Attack","Critical",9.21,37.95,43.92,71.28,"Yes",83.98
179,"Insider Threat","Outdated Software","Network Attack","High",8.25,25.97,47.73,83.7,"Yes",70.58
180,"DDoS","System Misconfiguration","Social Engineering","Medium",4.24,7.84,14.26,41.53,"Yes",41.57
181,"Insider Threat","Outdated Software","Web Attack","High",8.2,25.74,22.53,76.97,"Yes",71.18
182,"Phishing","Insecure API","Social Engineering","Medium",6.69,15.19,28.45,88.37,"No",39.67
183,"DDoS","Missing Security Patch","Social Engineering","Medium",6.15,19.11,20.7,45.52,"No",43.85
184,"Malware","Missing Security Patch","Network Attack","Medium",4.46,7.83,10.66,76.79,"No",22.86
185,"DDoS","Open Port","Web Attack","Low",3.44,8.15,16.91,80.99,"Yes",30.18
186,"Phishing","Outdated Software","Social Engineering","Medium",5.2,27.84,21.13,55.71,"Yes",54.18
187,"Malware","Insecure API","Social Engineering","Medium",6.36,9.77,21.73,45.33,"No",41.61
188,"DDoS","Privilege Escalation","Network Attack","Medium",4.09,9.01,13.23,45.06,"Yes",40.44
189,"Insider Threat","Outdated Software","Network Attack","Medium",5.78,10.63,19.64,65.66,"No",34.86
190,"Insider Threat","System Misconfiguration","Social Engineering","Medium",5.99,20.49,29.19,61.2,"No",40.97
191,"Malware","Cross Site Scripting","Network Attack","High",8.49,33.94,43.7,61.57,"No",63.76
192,"Phishing","SQL Injection","Web Attack","Medium",6.25,24.15,21.37,78.05,"No",41.72
193,"Insider Threat","SQL Injection","Web Attack","High",8.56,35.55,34.29,51.67,"Yes",81.37
194,"DDoS","Insecure API","Network Attack","Low",2.76,8.4,13.28,44.41,"Yes",31.04
195,"Insider Threat","Missing Security Patch","Web Attack","High",7.23,16.14,32.27,87.85,"Yes",58.86
196,"Phishing","SQL Injection","Social Engineering","Low",2.81,4.81,6.16,62.57,"No",12.2
197,"Phishing","Weak Password","Network Attack","Critical",9.47,37.13,43.96,68.07,"No",70.95
198,"DDoS","Weak Password","Network Attack","Low",3.27,11.17,15.6,79.91,"Yes",30.34
199,"Malware","Weak Password","Social Engineering","Low",2.7,5.22,15.26,78.39,"Yes",24.21
200,"DDoS","Cross Site Scripting","Network Attack","Medium",3.95,6.98,13.19,50.12,"No",22.91
201,"Malware","SQL Injection","Web Attack","Low",1.88,6.67,13.31,66.51,"No",5.86
202,"Insider Threat","Missing Security Patch","Network Attack","Medium",6.13,12.87,30.08,82.76,"No",35.68
203,"DDoS","Outdated Software","Web Attack","Critical",9.51,28.42,43.52,50.35,"Yes",85.41
204,"Phishing","Missing Security Patch","Web Attack","Medium",6.86,21.45,22.36,73.01,"No",45.63
205,"Phishing","Missing Security Patch","Web Attack","Low",2.8,8.69,6.25,79.57,"Yes",26.12
206,"Insider Threat","Outdated Software","Social Engineering","Low",2.74,9.55,6.89,76.11,"No",11.58
207,"Phishing","Insecure API","Web Attack","Medium",5.12,17.04,23.49,51.7,"No",34.89
208,"Malware","Cross Site Scripting","Network Attack","High",7.47,38.57,36.83,70.71,"No",57.12
209,"Malware","Cross Site Scripting","Social Engineering","Medium",6.06,17.21,28.48,84.12,"No",36.67
210,"Malware","Weak Encryption","Web Attack","Medium",6.14,17.46,33.27,42.3,"No",43.62
211,"Phishing","Privilege Escalation","Web Attack","Critical",8.96,39.36,48.8,94.57,"Yes",79.28
212,"Malware","SQL Injection","Social Engineering","Medium",3.96,10.67,11.83,91.98,"Yes",33.17
213,"Malware","Privilege Escalation","Web Attack","Medium",6.42,25.88,22.35,74.88,"Yes",59.05
214,"DDoS","SQL Injection","Web Attack","High",7.36,15.57,33.55,66.27,"No",47.82
215,"Malware","System Misconfiguration","Social Engineering","High",8.23,29.3,53.29,81.25,"Yes",72.17
216,"DDoS","Open Port","Web Attack","High",7.07,20.21,26.37,93.97,"Yes",58.47
217,"Phishing","Missing Security Patch","Web Attack","Medium",6.42,26.22,17.84,76.8,"No",43.89
218,"Phishing","System Misconfiguration","Web Attack","Low",2.71,5.44,14.88,58.45,"No",12.39
219,"Insider Threat","Weak Password","Web Attack","Low",3.3,7.74,17.35,89.2,"Yes",27.84
220,"Insider Threat","Open Port","Network Attack","Medium",5.68,26.09,17.95,63.48,"No",40.67
221,"Malware","SQL Injection","Network Attack","High",7.39,19.29,23.06,45.82,"No",52.55
222,"Insider Threat","SQL Injection","Network Attack","High",8.58,44.37,58.63,88.42,"No",64.54
223,"DDoS","SQL Injection","Social Engineering","High",7.53,58.95,65.62,49.32,"No",68.86
224,"DDoS","System Misconfiguration","Network Attack","Medium",5.73,17.74,21.68,92.07,"No",33.38
225,"Malware","Privilege Escalation","Web Attack","Low",3.43,9.48,12.31,69.12,"Yes",32.4
226,"Phishing","SQL Injection","Network Attack","Medium",6.37,23.92,13.98,53.67,"No",46.13
227,"Phishing","Missing Security Patch","Social Engineering","Low",3.11,8.29,9.65,66.19,"No",15.13
228,"DDoS","Open Port","Web Attack","High",7.15,16.22,22.85,59.67,"Yes",62.62
229,"DDoS","Open Port","Web Attack","Critical",9.53,40.84,43.8,46.87,"Yes",91.03
230,"Insider Threat","Outdated Software","Social Engineering","Medium",5.91,12.21,21.51,58.7,"No",37.41
231,"DDoS","Missing Security Patch","Network Attack","High",8.54,17.85,29.57,42.19,"Yes",75.58
232,"Phishing","Weak Encryption","Web Attack","High",8.57,39.27,44.58,83.14,"No",63.23
233,"Phishing","Outdated Software","Social Engineering","High",7.43,15.99,16.45,57.52,"No",49.76
234,"Malware","Outdated Software","Network Attack","Medium",4.22,7.52,16.39,79.22,"No",20.66
235,"Malware","Weak Encryption","Network Attack","High",8.79,45.18,47.8,92.25,"No",65.74
236,"Phishing","Open Port","Network Attack","Low",3.22,9.45,10.62,56.6,"Yes",32.84
237,"Malware","Missing Security Patch","Web Attack","Critical",9.88,36.03,28.76,94.32,"No",69.42
238,"Insider Threat","SQL Injection","Social Engineering","Low",3.12,4.74,5.46,48.62,"Yes",31.46
239,"Malware","Privilege Escalation","Web Attack","Medium",6.25,20.59,21.19,83.9,"Yes",54.42
240,"Insider Threat","SQL Injection","Social Engineering","High",7.77,30.79,32.6,70.76,"Yes",71.09
241,"Phishing","SQL Injection","Network Attack","Medium",4.06,9.15,7.21,42.89,"No",25.66
242,"DDoS","Open Port","Network Attack","High",8.26,42.33,43.66,66.13,"Yes",79.85
243,"Malware","Outdated Software","Web Attack","Medium",6.21,19.67,28.13,82.53,"Yes",53.95
244,"DDoS","Weak Encryption","Network Attack","Critical",9.54,40.41,33.98,85.42,"Yes",85.16
245,"Phishing","Insecure API","Network Attack","Medium",5.87,19.21,24.45,56.2,"Yes",55.37
246,"DDoS","Cross Site Scripting","Network Attack","Medium",4.24,14.97,30.07,44.38,"No",29
247,"Phishing","SQL Injection","Web Attack","High",8.81,24.69,46.73,70.3,"No",61.01
248,"Insider Threat","Outdated Software","Social Engineering","Medium",6.06,20.69,35.53,78.62,"No",38.88
249,"Insider Threat","Weak Encryption","Network Attack","Medium",4.84,15.98,24.31,81.3,"Yes",43.05
250,"DDoS","Weak Password","Network Attack","Low",1.79,7.94,10.22,86.08,"Yes",17.8
251,"Malware","Outdated Software","Network Attack","High",8.21,6.33,32.44,92.33,"No",46.17
252,"Malware","Privilege Escalation","Social Engineering","Critical",9.41,40.15,46.17,76.9,"Yes",85.36
253,"DDoS","SQL Injection","Web Attack","High",8.2,42.74,37.91,70.44,"No",63.95
254,"Malware","Insecure API","Web Attack","Medium",6.83,19.61,30.38,49.04,"No",48.27
255,"Phishing","System Misconfiguration","Social Engineering","Medium",5.66,15.68,26.51,53.25,"Yes",52.92
256,"DDoS","Cross Site Scripting","Web Attack","Critical",8.91,44.62,48.88,45.51,"No",73.42
257,"Malware","Privilege Escalation","Network Attack","High",8.8,40.9,40.65,82.78,"No",65.55
258,"Phishing","Open Port","Social Engineering","High",7.18,13.91,26.69,86.7,"Yes",57.84
259,"Phishing","Privilege Escalation","Web Attack","Medium",4.66,18.99,17.16,83.66,"No",27.69
260,"Insider Threat","Privilege Escalation","Network Attack","Medium",5.99,10.97,21.8,93.88,"No",32.25
261,"Insider Threat","Open Port","Web Attack","Low",2.88,9.11,10.25,84.93,"Yes",26.06
262,"Insider Threat","System Misconfiguration","Social Engineering","Medium",5.51,22.89,33.35,46.3,"No",40.77
263,"DDoS","System Misconfiguration","Network Attack","Critical",9.47,24.56,55.21,88.05,"No",62.88
264,"Insider Threat","System Misconfiguration","Social Engineering","Medium",5.09,17.71,28.67,75.96,"No",31.35
265,"Phishing","Weak Encryption","Network Attack","Medium",6.01,17.4,25.63,73.75,"No",37.95
266,"DDoS","Cross Site Scripting","Network Attack","Medium",6.59,19.65,16.37,48.28,"No",46.71
267,"Phishing","Weak Encryption","Network Attack","Medium",6.04,19.15,27.95,49.5,"Yes",57.53
268,"Phishing","Outdated Software","Network Attack","Low",3.25,6.59,7.9,50.51,"Yes",32.78
269,"Malware","Outdated Software","Web Attack","Medium",5.54,17.51,21.82,70.41,"No",35.25
270,"Phishing","Open Port","Web Attack","Medium",6.74,19.47,16.96,82.97,"No",42.49
271,"Insider Threat","Weak Encryption","Web Attack","Critical",8.92,38.79,42.91,42.15,"No",71.65
272,"Malware","Weak Password","Network Attack","Medium",6.18,16.27,23.53,48.32,"No",42.49
273,"Malware","Outdated Software","Social Engineering","Low",2.69,8.85,8.33,88.13,"Yes",24.18
274,"Malware","Insecure API","Web Attack","Medium",5.67,14.35,20.65,48,"Yes",53.22
275,"DDoS","Outdated Software","Web Attack","Low",3.21,7.03,9.9,78.14,"No",13.53
276,"DDoS","Open Port","Network Attack","Low",3.3,4.83,12.33,86.16,"Yes",27.09
277,"Insider Threat","Weak Password","Social Engineering","Medium",6.77,12.87,17.93,81.74,"Yes",55.27
278,"Phishing","Outdated Software","Web Attack","High",8.21,18.96,25.27,57.37,"No",56.44
279,"Malware","Outdated Software","Social Engineering","Medium",6.02,19.97,25.19,71.02,"No",39.48
280,"DDoS","SQL Injection","Network Attack","High",8.32,31.97,42.24,62.13,"No",61.69
281,"DDoS","SQL Injection","Network Attack","High",8.48,29.74,53.59,40.46,"Yes",80.16
282,"Malware","Privilege Escalation","Web Attack","High",8.77,29.59,49.73,67.17,"No",63.12
